stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,34.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.92,0,0,0,0,39.01,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,53.21,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,18.69,0,0,0,0,61.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.06,0,0,0,11.06,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,88.9,0.83,0,0,0,0,6.23,0,1.65,11.72,0,0,0,1.17
 24-34,0,0,0,0,0,16.3,0,0,0,0,0,0,1.45,0,0,0,0,0,1.03,0,0,2.21,644.63,0,0,1.88,0,0,0,8.94,0,65.21,0,0,0,0
 36-46,0,0,0,0,0,347.73,0,0,0,33.65,0,0,0,0,0,0,0,0,0,0,0,0.72,1172.23,0,0,0,0,0,1.6,0,0,138.68,0,1.23,0,0
 48-58,0,0,7.51,0,0,1163.81,0.37,0,1.71,73.88,0,0,0,0,0,0,0,1.3,9.1,0,0,0.4,1247.2,0,1.05,0,0,0,0,0,0,108.79,0,0,0,3.31
 60-70,0,0,14.16,0,0,4439.3,0,0,0,78.53,0,0,0,0,0,0,1.62,0,3.44,0,5.65,0,1627.89,0,0,0.72,0,5.44,1.35,0,0,128.18,5.3,0,0,8.59
 72-82,0,0,0.54,0.54,0,3290.72,0.75,0,1.41,57.31,0.7,0,0.81,0.87,0,0,0,0,21.08,0,0,0,1454.08,3.88,0.53,0,0,0.77,0,0,0,32.14,0.52,3.96,0,8.1
 84-94,0,1.16,12.74,1.95,0,2093.32,0,0.56,0,74.66,0.98,0,0,0,1.15,17.87,0,0,15.25,0,3.26,0,1136.93,0,0,1.29,0,3.14,0,0,0,67.57,2.12,0,0.82,0
 96-106,0,0,8.29,0,0,1699.25,0,0,1.31,54.31,1.04,0,0.73,0.95,0,0,0,6.49,16.25,0,0,0.92,828.52,0,0,0,0,3.48,0,0,0,3.15,0,0,0.59,0
108-118,0,0,21.41,0.42,0.99,1324.02,0,1.37,0,67.57,3.46,0,0,0,0,0,0,0,7.89,0,0,0,965.65,1.2,0,0,0,0,0,0,0,11.86,0,2.38,2.27,0.92
120,0,0,1.18,0,0,794.26,0,0,0,124.56,0,0,0,0,0,0,0,0,2.23,2.21,0,0,1431.11,0,0,0,0,0,0,0,0,71.81,0,0,0,0
