stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,0,143.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0,0,0,0,0
  5-6,6.56,48.79,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,6.94,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,31.61,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,21.46,0,0,0,0,0,8.35,0,0,0
 14-21,0,0,1.75,0.88,3.02,0,0,0,0,0,0,0,12.15,0,0,0,0,1.87,0,3.66,0.96,0
 24-34,0,0,0,0,2.78,0,0,0,0,0.67,0,0,11.19,0.62,0,0,0,0,0,1.26,0.71,0
 36-46,0,0,0,0,0,0,0,0,0,1.48,0,0,7.84,0,0,0,0,0,0,0,2.87,0
 48-58,0,0,0.41,0,0.51,0,0.6,0,0,0.39,0,0,6.65,0.95,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,10.88,0,5.07,0,0.87,0.97,0,0,29.61,0,0,0,0.63,0,0,0,2.5,0
 72-82,0,0,0,0,6.26,0,0,0,0,4.17,0,0,8.32,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.31,0,8.2,0,0,1.84,0,2.84,0,0,14.03,0,0,0,0,0,0,0,2.03,0
 96-106,0,0,0,0,12.26,0,7.2,0,0,0.92,2.17,0.78,15.33,0,0,0,0.96,0,0,0,0.66,0
108-118,0,0,0.42,0,3.24,0,1.07,0,0,1.62,2.12,0,17.33,0.41,0.87,0,0.42,0,0,0,0,0.56
120,0,0,6.17,0,0,1.06,0,0,0,0,0,0,26.76,0,0,0,0,0,0,0,0,0
