stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.67,74.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,80.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.37,0,0,0,12.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.36,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,20.7,0,2,0,0,0,0,0,0,0,0,0,0,0.97,0,7.29,0,0,2.06,31.24,1.29,0,0,0,0,6.74,0,0,0,2.47,20.19,0,0,0,0,0
 24-34,0,0,1.77,37.32,0,24.28,0,0,0,0,0,0,0,1.97,0,0.93,0,0,11.06,0,0,7.87,242.83,0.83,3.27,4.86,0,0,1.8,0,3.59,0,1.89,81.43,0,0,2.4,0,0
 36-46,0,0,0,12.41,0,20.51,1.33,0,0,6.21,0.72,3.57,0,1.77,0,4.03,0,0,30.24,0,0,12.27,671.15,0,13.26,8.72,0,0,4.87,0,1.68,0,0,115.89,0,0,8.46,0,0
 48-58,0,0,0,25.56,0.43,75.21,0,0,0,34.7,2.84,0.87,0,0,0,0.53,0,6.17,86.96,0.82,0.94,7.45,1359.79,5.12,0,7.31,0,0,0,0,4.49,0.4,0,172.12,0,0,3.57,0,10.09
 60-70,0,0,0,20.2,0,249.59,3.43,1.73,1.48,65.68,0.58,0.59,0,2.4,3.63,3.38,0,2.38,108.04,1.53,0,0.84,1771.03,0,3.67,6.43,0,0,0,0,4.13,0,0,180.64,0.61,0,5.32,0,0
 72-82,0,0,2.56,22.88,4.02,437.27,0.95,0.7,8.63,91.36,0.51,0,0,0,1.43,1.48,0,0,143.66,0,3.83,8.16,1664.43,0,14.95,6.5,0,1.1,2.45,0,3.08,0,0,181.99,1.27,0.57,6.39,1.25,0
 84-94,0,0,2.22,21.88,18.84,274.84,0.79,0,0,34.62,5.29,0.78,4.01,2.8,1.9,3.7,2.93,0,95.06,0,0,7.78,1158.88,0,10.45,11.34,0,0,2.38,0,6.93,0,0,134.76,7.13,0,7.26,0,0
 96-106,0,0,0,29.11,5.88,281.91,3.47,0,1.72,62.38,3.27,0,1.44,0,0,2.75,3.15,0,94.01,0.68,1.53,4.68,875.18,0,7.78,6.31,0,0,9.64,0,2.64,0,0,53.32,17.75,0,6.14,0,0
108-118,0,0,0,37.4,5.27,220.19,0,0,0.43,65.09,4.57,0,1.74,4.36,3.66,3.53,0,0,76.52,0,0,1.62,968.45,0,3.05,5.27,0,0,2.85,0,5.87,0,0,33.46,11.95,0.63,18.63,0,0
120,0,0,0,59.74,0,219.86,0,4.13,0,79.89,10.86,6.79,0,5.09,3.86,12.03,0,3.58,85.08,0,4.3,3.83,1728.7,4.62,28.29,26.71,0,3.68,1.24,2.5,12.79,0,0,57.18,10.38,11.19,0,5.18,0
