stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.87,3.88,5.06,2.76,0,1.2,0,3.29,0,0,0,0,0,3.54,0,2.51,57.94,1.29,0,4.45,0.81,5.41,9.32,2.41,3.85,10.14,0,1.62,0,0
 24-34,0.59,2.25,1,16.05,0,7.57,0,0,0,0,0.68,0,0,12.6,0,5.52,199.35,0,0.72,1.56,0,0.6,0,0,0,32.25,0,0,0,0
 36-46,0,1.07,0,59.18,0,0,0,0,0.87,0,0,0,0,5.82,0,1.55,152.17,0.64,0.6,0,0,1.55,2.9,0,0,40,0,0.58,0,2.73
 48-58,0,4.96,1.4,123.44,0,4.59,0,0,0,0,0,0,0,26.47,2.5,1.93,105.93,0.38,0,0.74,0,0.38,0,0,0,22.49,0,0.91,0,0
 60-70,0,5.46,0.67,59.59,0,4.12,1.29,0,0,0,0,0,1.45,13.97,0,2.19,61.17,0,0,0,0,0.57,0,1.06,0,0,0,0,0,0
 72-82,0,5.29,0,22.8,0.75,2.81,0,0,0,0,0,0,0,10.21,0,1.28,18.84,0,0,0.63,0,0,0,0,0,0.93,0,2.55,0,0
 84-94,0,7.87,2.86,55.86,0,3.98,0.97,0,2.85,1.28,0,0,0,32.84,1.5,2.96,23.9,0,0,0,0,1.87,0,0.56,0,0,0,0.86,0,0
 96-106,0,0,0,23.14,0,6.03,0,0,0,0,0,1.92,0,10.01,1.47,0.67,31.08,0,0,0,0,0,0,0,0,0,0,0.58,1.11,0
108-118,0,3.64,0.51,3.13,0.84,0.67,0,0,0,0.42,0,0,0,9.19,0,0,17.23,0,0,0.48,0,4.15,0,0,0,0,0.51,0.63,0,0
120,0,2.11,0,21.37,1.04,21.6,0,0,0,4.76,0,0,0,3.83,0,2.04,79.88,4.72,0,0,0,0,0,0,0,0,0,3.55,0,0
