stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,99.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
  5-6,8.25,229.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.14,0,0,0,9.15,0,0,0,0,0,0,0,0,0
  7-9,3.82,15.55,10.07,0,0,22.59,0,0,0,0,3.44,0,0,0,0,0,0,173.64,3.25,0,0,33.2,0,0,12.75,0,0,0,0,0,0
 10-12,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.3,12.52,0,0,53.43,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,6.97,5.05,2.95,0,0,0,0,0,0,0,0,0,5.13,2.81,60.78,0,0,0,3.55,1.42,4.98,0,3.67,19.3,0,0,0,0
 24-34,0,0,0,0,0,2.65,0,0,0.9,0,0,0,0,0,0,4.73,11.95,31.08,0,0,0,0,0.93,0,3.77,0.61,7.79,0,0,0,0
 36-46,0,0,0,9.6,0,14.57,0,0,5.57,0,0,0,0,0.85,0,4.72,0.75,27.66,0,0,0,0,9.81,0,2.52,0,10.98,0,0,2.38,0
 48-58,0,0,0,3.02,0,10.73,0,0,1.93,0,0,0,0,0,0.41,5.86,1.34,20.21,0,0,0,0,3.91,0,1.83,0,1.09,0,0,0,0.5
 60-70,0,0,0,0,0,6.38,0,1.23,5.7,0,0,0,0,10.39,0,5.86,0,8.81,0,0,0,0,0.62,0,0,0,0,0,0,0,5.56
 72-82,0,0,0,4.18,0.69,1.83,0.58,0,4.36,0,0,0,0,0,0,4.45,0,13.17,0,1.43,1.32,0,0,0,3.01,0,3.24,0,0,0,0
 84-94,0,0,0,0,2.55,6.68,0,0,0,0.66,0,1.69,0,0,0,10.24,0,5.12,0,0,0,0,0,0,0,0,0,0,0.69,0,0
 96-106,0,0,0,0,0,4.29,0,0,6.48,2.74,0,1.8,0,0,0,4.33,0,2.98,0,0,0,0,0,0,0,0,0,0.61,0,0,0
108-118,0,0,0,3.68,0,6.3,0,0,0,0,0,0,0,0,0,1.65,2.38,1.94,0,0.95,0,0,0.68,0,0,0,0,0,0,1.07,0
120,0,0,0,0,0,11.59,0,0,34.29,0,0,0,2.67,0,0,16.5,0,12.88,0,0,0,0,1.07,0,0,0,0,0,0,0,0
