stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,8.65,0,5.25,36.64,2.52,19.89,0,0,0,6.9,0.84,0,0,6.7,0,0,0,38.64,0,9.67,313.65,5.18,2.16,3.11,5.98,4.37,35.26,2.91,5.26,23.51,85.51,1.26,0,0
 24-34,0,1.05,0.6,5.36,0.81,33.18,0,0,0,3.2,0,0.8,0,0,2.69,0,0,29.57,0,9.89,357.12,4.29,1.33,2.88,0,1.58,0,0,0,1.75,65.65,6.81,0,1.32
 36-46,0,0,0,0,0,32.58,0.64,0,0.63,3.37,0,0,0,0,0,0,0,18.62,0,2.31,151.35,0,0,1.57,0,0.7,0,0,0,0,35.04,1.04,0,1.08
 48-58,0,0,0,6.34,0,54.53,0,0,0,19.85,1.1,5.82,0.48,0,0,1.37,0,20.23,0.47,8.28,129.82,0.56,0.55,0.37,0,0,0,0,0,0,10.98,0.95,0,3.65
 60-70,0,0,0,3.07,0,22.33,0,0,0,7.08,0,0,0,0,0,0,0,21.06,0,0.81,79.42,0,0,0,0,0,0,0,0,0,5.04,0,0,0
 72-82,0,0,0,0,0,22.28,0,0,6.45,10.53,1.15,0,0,0,0.6,0,0,28.59,0.55,2.73,81.39,0,1.41,0,0,2.33,0,0,0,0,9.58,3.34,1.53,4.19
 84-94,0,0,0,5.86,0,20.04,0,0,0.6,11.43,1.22,0,1,0.61,0,0,4.83,16.93,1.84,6.63,18.97,1.58,1.46,0,0,0,0,0,0,0,10.19,0,1.24,0
 96-106,0,0,0,5.89,0,18.48,0,0,0,15.35,1.72,1.2,0,0.95,1.64,0,0,7.03,0,3.4,29.75,0,1.82,0,0,1.32,0,0,0,0,6.99,6.81,3.95,0
108-118,0,0.76,0,2.32,0,16.37,0.49,0.43,1.03,3.2,1.22,2.36,0,0,0,3.99,0,14.79,0,0.5,28.69,0,0,0,0,0.45,0,0,0,0,7.18,0,0,0
120,0,0,0,2.2,0,26.74,0,0,0,3.9,0,0,0,0,1.69,0,0,18.11,0,9.65,44.52,0,0,0,0,0,0,0,0,0,19.76,0,0,0
