stage,axial,blastomeres,endoderm,epidermis,eye,glial,heart,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,110.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,113.17,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.36,0,0,0,0,0,0,0,15.06,0,0,10,0,0,0,0,0,0
 10-12,0,0,6.99,0,4.55,0,0,0,0,0,79.18,5.34,0,24.85,0,0,0,0,0,0
 14-21,0,0,0,3.94,2.89,0,0,0,2.99,2.42,25.68,0,0,0,0,1.1,0,1.14,3.58,0
 24-34,0,0,0,0,1.39,1.4,0,0,3.32,0,25.28,0,0.74,0,0,0,0,0,0.78,0
 36-46,0,0,0,0,8.93,0,0,0,3.11,0.65,20.3,0,0,0,0,0,0,0,0.61,0.63
 48-58,0,0,0,0,7.11,2.92,0,0,3.47,0.38,26.84,0,0,0,0,0,0,0,4.87,2.99
 60-70,0,0,0,0,2.7,0,0,0,10.27,0,30.57,0,0,0,0,0,0.59,0,0,0
 72-82,0,0,0,0,0,0.93,0,0,0.95,0,1.66,0,0,0,1.22,0,0,0,0,0
 84-94,0,0,0,0,12.11,0,0,0,0,0,11.43,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.68,6.46,0.66,1.33,0,0,1.97,0,0.76,0,1.35,0,0,0,0.84,0
108-118,0,0,0,0,1.45,1.95,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.14,2.39,0,0,0,0,33.62,0,0,0,0,0,0,0,0,0
