stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0
  5-6,51.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.48,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,18.07,0,0,0,14.31,0,7.7,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95,0,0,4.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,1.21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,1.98,0,0,0.88,0,0,0,0,0,0,0
 24-34,0,0,0,1.34,0,0,0,0,1.52,0,0,2.79,0,0,0,0,0,2.25,0,0,0,42.46,0,0,0,0,0,0,0,0.77,1.22,0,0,0,0,0
 36-46,0,0,0,6.02,0,0,25.43,0,45.88,0,0,0,0,0,0,0,0,10.64,0,0,0,464.29,0,0,0,0,0.89,0,0,0,40.29,0,0,0,0,0
 48-58,0,0,0,3.71,0,0,47.68,0,125.74,0,0,0,0,0,0,0,0,14.03,0,0,1.91,750.6,0,2.34,1.35,0,0,0,0,0,102.76,0,0,0,0,0
 60-70,0,0,0,7.06,0,0,29.93,3.13,87.68,0,0,0,0,0,0,0,0,17.14,0,0,1.39,517.99,0,0,0,0,0,0,0,0,78.78,0,0,0,0,3.42
 72-82,0,0,0,3.94,0,0,40,0,101.33,0,0,0,0,0,0,0,0,52.86,0,0,0,467.48,0.73,1.69,1.06,0,0,0,0,0,17.84,0,6.17,0,1.15,0
 84-94,0,0,0,2.98,0,0,55.14,0,98.43,0.62,0,0,5.15,2.06,1.05,0.57,0,44.05,0,4.86,1.65,510.78,0,0,4.56,0,0,0,0,0,31.56,0.71,0.71,0,0,0
 96-106,0,0.91,0,0,0,0.59,40.91,0,55.19,0,0,0.78,0,0,0,0,0,72.6,4.87,2.34,0,358.96,0,0,2.93,0,0.66,0,0,0,8.74,2.19,0,0.73,4.13,0
108-118,0,0,0,8.44,1.49,3.19,36.06,0,100.35,0.42,0,0,0,0,0,0,0.9,55.93,0,2.89,7.48,430.39,0,3.9,3.69,0,0,0,0,0,0.62,0,0,0.52,1.52,2.32
120,0,0,0,4.24,4.32,0,57.81,0,119.94,0,0,0,0,0,0,0,0,59.16,0,3.62,0,574.34,0,2.15,1.84,0,0,0,0,0,0,0,4.13,8.98,0,0
