stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.01,3,0.88,0,0,0,0,0,0,0,0,0.82,0,0,0,4.34,0,0,0,0,0.95,0,0,0,0,0
 24-34,0,0.82,0,1.21,2.52,0,1.99,0,0,0,0,0,0,0,0,3.74,32.68,0,0,0,0.95,1.01,0.67,0,2.12,0,0
 36-46,0,2.28,0,6.17,0,0,1.26,0,0,0,0,0,0.94,0,0,0,13.13,0.58,3.93,0,2.18,0,2.37,0,0,0,0
 48-58,0,0,0,5.35,0,0,0,0,1.21,0,0,0.41,2.09,0,0.6,1.88,23.65,0,1.09,0,4.04,0,0.51,0,0.53,0,0
 60-70,0,0,0,22.5,0,0,1.88,0,1.63,0,0.67,0,7.06,0,0,0,39.81,0,0,0,9.57,0,9.26,0,0.64,0,0
 72-82,0,0,12.67,18.33,0,0,1.7,0,3.63,0,0,0,3.51,1.93,0,1.42,19.88,0,0,0,3.6,0,5.06,0,0,0,0
 84-94,0,3.77,0.72,14.83,0,0,2.05,0,4.87,0,0,0,1.36,1.39,0,0,21.08,0,0,0,7.98,0,8.24,0,0,0.89,0
 96-106,0,2.58,2.59,8.18,9.05,0,0,1.8,2.23,0,0,0,5.12,0,0,0,29.54,0,0.68,1.09,19.77,0,0,1.05,0,0,9.26
108-118,0.74,1.91,0,3.44,0,1.16,0.98,0,5.36,0.52,1.42,0,9.44,0,0.63,1.14,9.39,0,0,0,21.4,0,3.77,0,2.37,0,0
120,0,0,0,4.02,0,0,0,1.21,20.75,0,0,0,4.53,0,0,0,23.33,0,1.54,0,37.35,0,0,0,0,0,0
