stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.08,0,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,74.24,0,0,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.15,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,76.06,6.15,0,0,16.97,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.48,1.04,1.81,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,5.69,23.52,0,0.98,0,0,0,0,0.91,0,0,1.94,10.61,0,0,0,0,0
 24-34,1.29,0.84,3.12,0.76,8.25,0,0,0,4.43,0,0,2.56,0,0,0,0,0,1.41,0,0,0,130.15,0,0.62,2.17,0,0,1.07,0,0.84,0.7,1.5,25.01,0,0,5.9,0,0
 36-46,0,0,5.12,1.22,21.37,0,0,0,3.01,0,0,0,0,0,0,0,1.55,12.36,0,0,2.25,76.42,0,1.54,0,0,0,1.92,0,8.32,0,0,22.07,0,0,0.68,0,0
 48-58,0,0,0,0,26.41,0,0,1.37,7.44,0,0,0,0.47,0,0,0.92,0,17.97,0,0.56,0.78,84.69,0,0.64,0.62,0,0,7.27,0,0,0,0,22.2,0,0,3.38,0,2.29
 60-70,0,0,0,0.57,47,3.03,0,0.73,9.98,1.82,0,0,0,0,0,0,0,11.68,0,0,0.81,118.01,0,0,0,0,0.71,1.33,0,0,0,0,11.32,0,0,0.72,0,0
 72-82,0,0,1.94,0.51,57.17,0,2.07,0.87,14.97,2.62,0,0,0.6,0,0,1.22,0,25.72,0.71,0,3.11,142.81,0,1.46,9.03,0,0,3.42,0,0,0,0,23.45,0,0.56,8.47,0,1.68
 84-94,0,0,2.89,0,26.65,0,0.6,0,7.97,0.69,0,0,1.16,0,0,3.96,0,25.31,0.89,8.96,1.87,93.97,0,0,7.68,0,5.66,2.56,0,0,0,0,6.4,0,1.25,7.2,3.53,0
 96-106,0,0,3.18,0,64.86,0,0,0,22.09,2.38,0,0,0,0.93,0,1.15,0,27.18,0,8.17,4.21,108.92,2.22,1.03,1.75,0,0,5.83,0,0,0,0,0,0,2.1,4.36,2.57,0
108-118,0,0,5.1,0,43.62,0,2.62,2.93,8.91,0,0,0,1.9,1.23,1.68,0.49,0,24.9,0,0,5.28,135.98,0.47,1.35,6.97,0,0,1.18,0,1.31,0,0,6.25,0,0,15.92,0.68,2.08
120,0,0,0,0,58.93,0,0,0,45.3,0,0,0,0,0,0,0,0,12.28,0,0,2,139.86,0,0,4.5,0,0,1.29,0,1.26,1.37,0,20.01,3.65,0,0,5.63,0
