stage,axial,blastomeres,endocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,164.36,4603.42,0,0,0,0,0,0,0,0,0,0,0,0,259.97,0,0,0,0,0
  5-6,134.52,2083.84,0,0,0,0,0,0,0,0,53.89,0,0,0,49.68,0,0,0,0,0
  7-9,10.59,4.37,0,12.52,0,0,0,9.71,0,0,100.19,8.71,0,38.26,0,22.81,0,0,0,0
 10-12,0,0,0,3.98,0,0,0,15.83,0,0,46.74,0,0,15.93,0,5.95,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.09,1.84,0,0,0,6.34,0,2.05,0,0,0
 24-34,0,0,0,0.88,0,1.05,0,0,0,0,5.28,0,0,0,3.47,0,0,0.67,1.67,0
 36-46,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.5,0,0.37,0,0,0.65,0,13.81,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.22,0,0,0.85,0,0,0,27.44,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.32,0,0.51,0,0,0,0,2.52,0,0.49,0,0,0,0,0,0,1.34
 84-94,0,0,0,0,0,0,0.58,0.71,0,0,6.23,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.99,3.05,0.56,3.09,1.39,0,0,0,7.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.48,0,0,3.51,0,0,0.56,1.67,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,8.03,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0
