stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,22.36,190.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0
  5-6,0,29.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.35,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,59.36,0,0,0,16.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.23,0,0,0,42.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.51,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,54.44,1.15,0,0,0,0,0,3.41,1.38,0,1.85,22.73,0,0,0,0
 24-34,0,0,0.61,2.95,0,0,7.81,0,1.06,0.79,0,0,0,0.87,0,0,0,0,0,7.66,0,0,1.49,242.08,0,5.28,2.15,0,0,0.7,0,0,0.66,0,30.14,0,0,1.41,0
 36-46,0,0,0,3.13,0,0,39.99,3.98,0,0,14.76,0,0,0,0,0,0,0,3.1,6.28,0,0,2.1,349.13,1.09,4.05,0.78,0,2.1,0.95,0,0.65,0,0,69,0,0,1.21,1.69
 48-58,0,0,0,4.52,0,0,116.05,0,0,0,26.55,0,0,0,0,0,0,2.15,0,7.97,0,0.77,2.66,307.2,0.88,6.95,0,0,0,2.57,0,0,0,0,67.07,0,0,1.22,2.38
 60-70,0,0,0,2.62,0.59,0,197.05,0,0,1.18,23.21,0,0,0,0,2.09,0,0,0,12.51,0,0,3.01,371.95,0.63,2.7,0,0,0,1.46,0,0,0,0,57.71,0,0,1.03,2.72
 72-82,0,0,0,5.37,10.02,0,132.19,0,0,0,21.8,0.54,0,1.99,0,0,0,0,9,19.47,0,2.44,1.17,327.17,0,5.4,1.53,0,0,1.57,0,0,0,0,32.08,0,0,3.21,0
 84-94,0,0,0.98,2.16,1.79,0,122.55,0,0,0.82,34.84,0,0,0,0.68,0,3.26,0,9.53,28.56,1.84,0,2.11,212.41,0,1.82,0,0,0,2.99,0,0,0,0,21.99,2.42,2.23,0,3.84
 96-106,0,0,0,1.93,0,1.07,82.4,0,0.76,0,39.43,0,0,1.39,1.12,0,0.9,7.59,0,20.5,0.97,0,3.01,165.63,0,0.71,1.38,0,0,9.12,0,0,0,0,3.25,0,0,4.48,0
108-118,0,0,0,12.09,7.2,0,69.15,0,1.07,1.27,19.49,3.67,0,2.17,0.96,2.65,0,1.42,0.66,39.64,0,10.04,0.64,229.84,0,1.14,6.1,0,0,2.71,0,0,0,0,9.9,0.81,0,0,0
120,0,0,0,9.67,22.24,0,115.78,0,1.22,0,60.7,1.38,0,11.37,0,0,1.54,0,0,39.15,0,11.56,0,366.37,2.45,1.91,6.67,0,0,4.18,0,0,0,0,44.72,0,5.64,0,0
