stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,120.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,163.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.02,0,0,15.69,0,0,0,0,0,14.07,0,0,0,0,0,0,0,0,0,0,0,63.38,5.04,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,52.52,0,5.31,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.37,19.82,0,48.5,3.1,0,0,12.04,0,5.73,0,0,0,0,0,0
 14-21,0,0,0,10.16,11.3,101.53,0,0,0,0,0,1.69,2.24,4.44,0,0.83,0,0,34.78,0,3.59,0,0,4.18,20.67,0,0,0,4.22,0,1.05,0,59.24,8.98,4.54,0,0,148.77,0,0
 24-34,0,0,0,0,0.6,17.37,3.54,19.27,0,0,0,0,0,32.52,1.95,0.61,0,0,28.76,1.47,11.17,0,0,18.06,70.42,1.49,0,0,2.18,0,0,2.5,25.22,8.21,15.83,0,0,605.13,0,0
 36-46,0,0,0,0,0,1.31,17.27,45.78,0,0.95,1.66,0,0,8.64,0,0,57.49,0,13.34,28.73,6.03,0,0,6.81,58.69,11.94,0,0,6.97,0,0,0,17.58,0.6,26.57,0,0,233.14,0,1.08
 48-58,0,0,0,0,2.95,0,37.89,47.18,0,0.66,4.36,0,0,17.02,0,0,21.37,0,8.46,9.48,23.55,0,1.62,15.14,104.47,12.31,3.51,0,6.12,0,0,0,15.49,0,15.95,0,0,206.87,0,3.66
 60-70,0,0,0,0,12.15,21.8,25.61,19.66,3.31,0.84,14.23,0,0,23.5,0,0.71,32.8,0,4.63,2.5,24.12,0,7.56,12.71,30.08,8.78,1.97,5.14,6.33,0,0,0.83,11.94,0,0.66,0,0,189.84,0.79,0
 72-82,0,0,0,0,0,0.59,26.6,11.55,0,0,4.88,0,0,8.53,0,0,39.05,2.11,10.24,7.62,24.94,0,0,2.57,58.69,5.11,1.37,0,2.71,0,0,0,3.72,0,3.71,0,0.56,356.72,2.58,2.33
 84-94,0,0,0,0,0.9,1.1,15.63,40.43,0,0,8.15,0,0,6.04,0.75,0,72.07,0,0,1.76,49.38,0,0,6.22,24.99,10.34,2.83,0,1.46,0,0,0,4.78,0,1.41,0,0,329.98,12.65,0
 96-106,0,0,1.08,0,1.7,22.45,32.7,19.44,0.93,3.51,23.89,0,0,12.27,1.54,0,35.34,0,4.43,2.33,28.71,1.61,0,4.78,42.23,5,0,1.2,6.71,0,0,1.01,1.36,0,0,0,0,279.29,10.4,6.16
108-118,0,0,0,0,3.7,9.75,27.11,23.34,0,0,11.88,0,0,3.91,0.52,0.45,98,0.49,6.32,9.61,35.22,0,0,11.18,41.91,1.49,8.56,0,0,0.79,0,0.99,9.23,0,2.17,1.35,2.26,241.66,4.97,4.17
120,0,0,0,0,0,16.46,4.27,20.55,0,0,25.51,6.22,0,16.76,1.28,0,29.09,0,4.54,18.98,12.95,0,0,2.55,35.35,14.55,6.01,0,4.07,0,0,0,1.03,0,0,0,8.16,312,6.74,0
