stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.81,0,0,1001.08,0,0,0,0,0,0,0,2.23,0,0,11.44,239.44,0,0,0,0,29.25,27.02,0,0,0,0,0,0,0,3.26,0,0,0,0,0
 24-34,0,1.3,42.08,2.63,0,6882.25,0.75,0,2.37,4.58,1.65,2,4.04,4.65,18.24,2.32,2.05,8288.89,29.31,9.13,0,38.58,562.05,11.97,5.97,2.47,0,46.35,3.68,0,5.67,72.91,0,0,27.25,0,42.93
 36-46,0.85,0,7.69,4.36,0,7265.52,9.57,0,0,17.05,1.58,1.05,0,10.89,11.44,0.7,0,24447.9,37.62,9.68,5.63,13.11,455.21,0,1.28,1.97,0,40.87,4.2,1.16,2.21,99.65,0,0,21.73,0,45.3
 48-58,0,0,30.06,6.91,0,11058.4,2.32,0.38,6.35,50.59,0,1.29,0,0,111.81,0,7.23,20336.3,81.88,10.86,0.41,33.09,787.1,21.48,5.96,0.87,0,44.33,3.86,8.16,0,152.7,0,0.64,36.12,0,17.59
 60-70,0,0,77.15,0.57,0,16079.28,9.32,6.4,0.78,61.5,5.53,0,16.99,0,150.55,0.84,7.93,14388.62,108.73,5.67,9.18,15.52,675.8,13.79,6.8,1.7,2.1,45.78,0.73,5.92,0,70.77,0,0,12.31,13.68,31.77
 72-82,0,0,27.93,25.55,0,12578.09,1.33,12.4,20.65,54.67,0,0,3.17,0.94,98.14,2.34,78.02,11302.87,166.5,1.62,5.59,2.85,525.55,0,9.29,3.8,2.41,23.16,12.8,0,0,36.64,4.34,0.85,37.82,31.04,57.62
 84-94,0,0,41.13,58.32,0,29486.64,0.71,20.48,4.41,56.74,8.14,1.66,23.81,4.05,117.73,0.73,38.83,18841.76,157.05,4.56,8.87,16.09,549.15,0,6.6,10,0,119.33,0.96,24.73,0,66.47,1.06,3.4,57.24,15.88,44.31
 96-106,2,0,49.09,69.63,70.24,19564.25,7.11,5.32,12.75,87.34,8.1,0,27.61,6.74,233.09,2.79,26.72,11132.48,204.82,6.29,14.1,27.49,678.34,2.14,2.16,24.44,0,114.91,0,7.42,0,39.79,9.76,4.91,22.56,11.47,30.21
108-118,0.8,0.74,26.34,50.4,129.51,19586.8,0.78,3.53,1.81,98.34,6.38,0,9.83,2.41,171.03,0,11.57,15380.47,184.88,9.87,12.2,13.87,590.28,5.62,7.73,11.98,1.49,82.07,0.42,0,0,26.23,0,2.21,17.98,6.72,261.37
120,0,0,11.79,36.83,0,7220.86,21.69,1.05,0,47.11,93.98,3.83,6.28,0,20.03,1.07,3.09,5822.53,107.99,0,59.88,15.29,320.8,0,1.15,2.49,0,23.26,0,0,0,9.15,0,11.26,29.39,16.59,1.1
