stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,21.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,4.71,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0,1.42,0,0,0,0
 24-34,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,57.23,0,0,0,2.75,0,44.65,0,0,0,0
 36-46,0,0,0.7,0,2.58,0,0,2.13,0,0,0,0,0,0,0,0,3.09,0,0.76,164.29,0,0,0,0,1.04,99.06,0,0,0,0
 48-58,0,0,0,0,10.58,0,0,1.46,0,0,0,0,0,0,0,0,1.47,0,4.78,231.77,0,0.5,0,0,0,60.91,0,2.73,0,0
 60-70,0,0,2.48,0,29.94,0.76,0.98,8.09,0,0,0,1.05,0,0,0.8,0,2.76,0,1.87,685.97,0,0,0,0.73,0,39.28,0,0,0,7.79
 72-82,0,0,2.33,0,153.55,0,1.17,13.27,2.23,0,0,0,0,0,0,0,17.48,0.81,1.51,991.89,0,0.67,0,0,0,49.26,0,0.64,0,6
 84-94,0,1.19,5.08,0,148.23,0,0,6.84,0,0,2.24,0,0,0,0,0,15.51,0,0,780.95,0,1.38,0,0.56,0,36.94,0,10.12,0,5.71
 96-106,0,0,12.39,4.3,113.81,0,0,22.74,2.86,0,1.61,0,0,0.89,0,0,16.45,7.22,1.46,747.45,0,0,0,8.2,0,16.2,0,0,1.06,0
108-118,0,0,11.36,0,116.63,0,0,18.03,1.33,0,0,0,0.93,1.4,0,2.95,18.74,0,0,803.77,0.99,0,0,3.6,0,12.69,0,0,0,0
120,0,0,18.5,0,198.11,0,0,28.04,0,0,0,3.53,0,0,0,0,3.26,0,0,1492.39,2,0,0,4.86,0,46.36,1.37,0,0,0
