stage,axial,blastomeres,endoderm,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.1,145.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,0,0,0,0,0,0,8.54,0,0,0,0,0,0,54.22,0,62.74,0,0,0,0,0,0,0
 10-12,0,0,5.47,4.34,0,0,0,0,0,0,0,0,0,0,19.3,0,3.83,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,1.28,0,0,0,1.07,0.94,0,0,0,0
 24-34,0,0,0,0.64,0,0,0,0,0,0,0,1.6,0,0,2.46,1.87,0,0,0,0,3.06,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0.6,3.64,0,0,2.25,0,0,0.8,0,0,0
 48-58,0,0,0,2.01,0,0,0,0,2.98,0,0,0.62,0,0,4.13,0,0,0.68,0,0,0.91,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,2.91,0,0,0
 72-82,0,0,0,8.51,0,0,0.56,0,5.54,0,0,2.81,0,0,15.94,0,0,0.72,0,0,0,0,0,0
 84-94,0,0,0,1.21,0,4.84,0.58,0,3.6,0,0.6,3.88,0,0,10.25,0,0,2.79,0,0,4.66,0,0,0
 96-106,0,0,0,11.21,0,7.69,0,0,8.38,0,0,6.92,0,0,13.5,0,0,2.47,0,0,7.42,0,0,0
108-118,0,0,0,7.31,0.54,3.13,0,0,11.8,0.45,0,2.76,0.5,0,24.44,0,0,6.88,0,0,0,1.18,1.8,1.25
120,0,0,0,0,0,0,0,0,16.51,0,0,2.89,0,0,4.14,0,0,0,0,0,0,0,0,0
