stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,36.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.69,89.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,40.17,0,0,0,16.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.69,0,0,0,35.64,0,0,10.79,3.96,0,0,0,0,0,0,0
 14-21,0,0,1.34,0.88,2.3,0,1.43,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,17.77,0,0,0,0,0,0,0,7.09,0,2.13,2.9,0,0,0,0
 24-34,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0
 36-46,0,0,0,0,0,0,3.86,0,5.92,0,0,0,0,0,0,0.74,0,0,0,0,0,32.35,0,2.32,0.69,0,0,0,0,0,0,0,3.13,0,0,0,0
 48-58,0,0,0,0,0,0,24.48,0,0,2.78,0,0,0,0.37,0,0,0,2.02,0,0,1.15,33.44,0.45,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 60-70,0,0,0,0,0,0,5.14,1.17,0,0,0,0,0,0,0,0,0,0.86,0,0,0,9.08,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0
 72-82,0,0,0,1.04,0,0,16.27,0,0,0.76,0,0,0.98,0,0,0,0,5.54,0,0,0,19.53,0,0,0,0,1.06,3.01,0,0,0,0,1.01,0,0,0.71,0
 84-94,0,0,0,3.82,0,0,5.13,0,0.57,0,0,0,0,0.98,0,0,0,5.29,1.19,0.6,4.46,15.55,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0.7
 96-106,0,0,0,0.56,0,0,13.72,0,0,6,0,0,0,0.7,0,0,0,0,0,0,0,14.74,0,0,0,0,0,6.27,0,0,0,0,0,1.82,0,3.14,0
108-118,0,0,0,0,0,2.73,0.42,0.98,0,1.22,0,0,0,0,0.55,0,0.61,4.48,0,0,0.57,21.96,0,0,0,0,0,9.36,0,0,0.56,0,0,0.83,2.45,0,0
120,0,0,0,1.48,0,0,10.44,1.33,0,0,2,0,0,2.34,1.61,1.11,0,5.17,0,0,0,56.92,0,0,0,0,0,29.12,0,0,0,0,0,0,0,1.23,0
