stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0
 24-34,0,1.49,1.24,0,0,0,0,0,1.36,0,0,0,0,0,0,0,14.68,0,0.61,0,0,0.7,0.73,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.43,0,0,0,1.44,0,0,0,0,0,0,0,11.5,0.97,0,0,0,0,2.12,0,0,0
 60-70,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0.75,2.01,0,30.15,0,0,0,0,0,2.86,0,0,0
 72-82,0,3.1,0,0,0,0,0,0,1.27,3.27,0.49,0,0,0,5.2,0,35.35,5.05,0,0,0.57,0,0,3.14,0,0.6
 84-94,0,0,0,0,5.8,0,0,0,0,0.86,1.14,0,0,1.57,10.2,0,33.71,0,0,0,0,0,0,4.03,0,7.08
 96-106,0,5.32,0,0,5.64,0.93,0.6,0.97,1.93,8.71,0,0,0,0.95,20.42,2.82,53.14,0,0,0,0.61,0,0,3.23,0,0
108-118,0,5.75,0,0.64,9.51,0,1.99,0,0,5.67,0,0.57,1.77,5.7,18.24,0,74.63,0.48,0,0,0.64,0,1.94,0,0,3.32
120,0,0,0,0,0,0,0,0,16.89,11.14,0,0,0,12.42,40.89,0,60.84,0,0,4.48,0,0,1.74,0,13.77,1.8
