stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0
  5-6,10.74,27.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,7.91,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,48.64,0,3.57,10.04,0,0,0,0,0
 14-21,0,0,0,5.26,8.66,1.21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99,15.5,0.95,0,1.02,0,56.84,2.31,0,0.98,10.25,0,0,0.82
 24-34,0,0,0,0.64,1.34,0,4.66,0,0,3.03,0.68,0,0,4.59,0,0.96,0,1.97,0,0,2.01,22.88,0,1.76,3.67,0,70.22,0,0.6,0,8.03,0,0,5.45
 36-46,0,0,0,0,2.08,0,8.11,0,0,3.48,0,0.76,0,0,0,0,0,0.7,0,0,0,21.39,0,0.65,2.48,0,129.79,0,0,0,5.82,0,0,3.9
 48-58,0,0,0,0,16.04,0,12.06,0,0.47,1.51,0,6.63,0,0.49,2.33,1.86,0,0.73,0,0,0,12.19,0.55,1.19,3.84,0,72.75,0,0,0,6.88,0,0,0
 60-70,0,0,0,0,9.94,0,16.82,0,0.99,0.6,0,0,1.96,1.9,0,4.43,0,0,1.53,0,0,56.92,0,2.07,0.91,0,45.63,0,0.88,0,0,0,0,0
 72-82,0,0,0,0,12.48,0,32.55,0,1.51,3.86,1.3,0,0.83,1.26,0,0,0,8.62,3.05,0,0,64.44,0,4.79,13.3,0,33.13,0,0,0,1.09,0.67,0,7.17
 84-94,0,0,2.48,0,18.05,0,30.61,0,0.66,6.1,7.85,2.72,1.94,0.72,0,0,0,0,1.71,0,0.95,26.62,0,15.13,5.62,0,133.39,0,0,0,5.65,0.71,0,7.18
 96-106,0,0,0,0,37.55,0,27.86,1.41,1.79,8.14,11.3,0,0,1.93,0,9.08,1.99,3.41,8.59,0,1.43,59.65,0,3.4,4.18,0,144.26,0,0,0,0.6,5.47,1.05,7.98
108-118,0,0,0.94,0,26.44,0,41.79,0.98,2.26,5.19,16.56,0,3.13,6.74,0,3.71,5.51,2.1,6,0,1.93,46.76,0,3.26,6.33,0,138.22,0,0,0,0,4.3,0,3.77
120,0,0,0,0,76.42,0,25.38,0,9.23,0,18.38,0,2.88,3.51,0,2.39,0,15.9,0,2.58,0,75.29,0,3.08,4.54,0,106.81,0,0,0,0,6.37,0,1.91
