stage,eye,fin.epithelia,neural,spinal.cord
 14-21,0,0,0,1.45
 24-34,0,0,1.73,0.73
 36-46,0.74,0,0.57,0
 48-58,0,0,0,1.04
 60-70,1.43,0,1.31,0
108-118,0,0.72,0,0
