stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.43,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.18,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.03,0,0,158.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.59,0,0,0,0,0,0,0.91,0,0,0,0,0
 24-34,0,0,0.81,0,7.77,0,0,3171.27,0,0.92,0,0,0.64,0,0,0.72,0,0,4.01,0,22.33,0,0,7.09,272.9,0,3.88,0.82,0.99,10.01,2.58,0,23.52,0,17.65,0,0
 36-46,0,0,0,0,11.43,0,0,6477.57,0,0,0.78,6.7,0,7.46,1.3,1.15,4.26,0,0,0,25.19,0,1.71,3.87,278.31,1.27,0,0.97,0,6.11,0,1.09,51.73,0,2.18,0,9.6
 48-58,0.39,0,0,0,2.35,2.42,0,5240.11,0.96,0,1.09,9.56,0,0,1.63,0,0,0,0,15.72,18.33,0,0,2.69,227.63,12.65,1.35,0,0,0.43,0,0,38.53,0,7.69,0,5.78
 60-70,0,0,0,0,2.94,0,0,6357.74,0,2.85,0,25.84,0,0,0.67,0,0,0,0,0,12.89,0,1.02,2.82,139,0,1.86,0.77,0,3.57,0,0,14.63,0,1.69,0,3.93
 72-82,0,0,0.5,0,0,4.9,0,5464.44,0,0,0,22.39,0.59,1.05,2.4,0,0.73,0.68,0,0,22.64,0,0,0.5,107.3,0,2.64,0,0.84,0,0,0,17.04,0,0,3.41,0
 84-94,0,0,0,0,1.08,1.25,3.04,5353.98,0,0,6.24,5.95,2.22,0,0,0.89,4.43,0,0,0,26.33,0,0,1.62,97.83,0,4.45,0,0,3.42,0,0,6.15,2.35,0.63,0,9.62
 96-106,0,0,0,0,1.8,8.16,16.93,3065.31,0,1.13,0,5.97,0,0,1.7,0,0.77,0,2.16,0,10.37,0,0,0,52.22,0,0,0,0,13.74,0,0,3.03,0,11.82,0,0
108-118,0,0,0,0,4.78,0,1.34,4544.98,0,0.6,6.67,13.06,3.49,0,3.53,0,0.49,1.12,3.53,0,34.19,0.59,4.48,1.3,92.46,0,0.46,0,1.95,11.37,0,0,12.95,0,3.32,1.42,0.59
120,0,0,0,0,6.32,56.02,1.6,4673.8,0,2,0,6.85,1.52,0,6.49,0,0,1.07,1.5,0,34.1,0,0,0,148.36,0,29.33,8.87,0,10.33,0,0,0,0,2.15,0,0
