stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,41.92,3.99,0,3.03,0,2.37,0,0,0,0
 24-34,0,0,6.56,0.76,3.38,0,0,0,0,0,1.61,0,0,0,0,114.5,94.03,26.98,0.83,4.13,13.15,0,9.95,0,0
 36-46,0,0,0,1.73,4.74,0,0,0,0,0,16.72,0,0,1.73,0,89.61,109.27,25.84,10.34,0,13.84,0,0,0,0
 48-58,0,0,5.82,1.38,5.97,0,1.15,0,0,0,10.88,0,4.01,0.39,0.52,100.19,99.87,45.14,0.43,0.4,15.17,0,0,0,1.76
 60-70,0,0,0,3.52,18.17,0,0.98,4.11,0,9.23,23.58,0,20.77,0,0,107.08,52.42,89.5,1.28,0,10.27,0,0,0,0
 72-82,0,0,1.04,5.24,44.78,0,2.59,0,0,0.78,56.87,0,21.46,0,0.56,152.52,124.45,120.13,0.54,0,7.55,0,0,0,0
 84-94,0,1.56,0,4.65,12,1,4.36,2.57,0,0,54.23,3.33,13.44,0,0,97.72,100.77,251.49,4,0,7.55,1.17,0,0,0
 96-106,0,0,1.36,4.06,30.38,2.28,21.73,1.42,0,2.49,90.45,0,9.76,0,0,167.65,203.2,254.26,1.65,0,6.34,0,0,0,0
108-118,0,3.86,2.6,5.45,45.99,0.58,32.63,0,0,1.11,64,4.74,8.99,0,0,193.91,114.11,284.29,0.88,0,7.66,0.68,0,0.72,0
120,0,0,0,0,91.52,0,51.63,4.03,4.21,0,60.26,5.48,6.93,0,0,228.08,112.53,336.1,0,0,14.34,0,0,0,0
