stage,axial,blastomeres,endocrine.pancreas,endoderm,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,11.92,542.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,146.57,0,0,0,0,0,0,0,0,0,0,0,12.69,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.62,0,0,0,0,0,41.33,7.28,7.94,0,7.32,0,0,0,0,0,0
 10-12,0,5.74,0,12.06,14.23,0,0,0,0,0,138.32,6.58,22.83,0,0,4.19,3.78,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.91,3.12,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.49,0.63,0,6.55,0,0,0,0,0,0,0.79,0,7.21,0
 36-46,0,0,0,0,0,0,1.39,0,0,0,2.95,0,0,0,0,0,0,1.24,0,4.93,0
 48-58,0,0,0,0,0.37,0,6.3,0,1.62,0.42,10.98,0,0,0,0,0,0,2.01,0,9.32,0
 60-70,0,0,0,0,0,0,4.91,0,0,0,3.4,0,0,0,0,0,0,5.7,0,27.6,12.63
 72-82,0,0,0.87,0,0,1.33,1.09,0,1.34,0,0,0,0,0,0,0,0,0,0.56,39.96,0
 84-94,0,0,2.56,0,0,0,16.67,0,0,0,3.58,0,0,0,0,0,0,0,0,19.85,0
 96-106,0,0,0,0,0,0,1.09,0,1.14,0,1.41,0,0,2.14,0,0,0,0,0,47.9,0
108-118,0,0,0,0,2.06,0,16.69,0,0,0,0,0,0,0,0,0,0,0,0,10.61,0
120,0,0,0,0,14.75,0,29.28,5.02,0,1.1,0,0,0,1.05,0,0,0,0,0,19.97,0
