stage,axial,blastomeres,eye,fast.muscle,fin.mesenchyme,gut,immune,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  5-6,7.22,14.61,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,11.62,9.64,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,30.71,3.05,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.42,0,13.12,4.61,186.42,0,0.95
 24-34,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,3.91,0.82,0
 36-46,0,0,0,1.36,2.07,0,0,0,0,0.88,0.83,0,0,0,0,0,4.94
 48-58,0,0,0,1.28,0,0,0,1.15,0,5.6,12.39,0,0,0,0,5.64,0.39
 60-70,0,0,0.86,4.55,0,0,0,9.84,0,20.45,0.92,0,0,0,0,0,0
 72-82,0,0,1.2,0.69,0,0,0.61,5.74,1.43,24.34,27.94,0,0,0,0,0,0
 84-94,0,0,1.66,0,0.61,1.27,3.58,5.92,0,34.62,6.01,0,0,0,0,0,0
 96-106,0,0,2.72,0.78,0,1.13,0,3.6,0,23.3,9.52,0,0,0,0,0,0
108-118,0,0,1.73,0,0,5.17,2,23.79,0,7.34,36.9,0,0,0,0,0,0.91
120,0,0,0,0,0,0,0,3.17,0,30.27,24.32,0,0,0,0,0,0
