stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,84.74,811.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.91,770.16,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2,15.57,0,0,28.49,0,14.99,0,0,0,0,0,0,0,0,0,0,0
  7-9,43.91,31.09,14.91,0,0,59.47,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,452.62,8.47,0,0,138.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.34,47.31,0,0,63.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.14,0,0,0,163.74,0,0,0,0,28.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.14,0,4.66,0,0,0,1.83,0,0,0,0,0,0,0,5.18,0,2.32,94.37,0.81,0,2.69,0,0,8.59,0,9.56,0,0,4.22,32.56,0,0,0,0,0
 24-34,0,0,0,6.35,0.81,9.22,0,0,3.13,0,0,0,0,0,0,0.66,0,15.34,0,6.14,240.43,0,1.07,3.4,0,0,7.27,0,0,0,0,5.67,44.71,0,0,3.47,0,1.49
 36-46,0,0,0,0,0,51.63,0,1.87,7.84,0,0,0,0,0,0,0.62,0,10.68,0,4.86,229.6,0,0.81,1.54,0,0,2.75,0,0,0,0,0,63.44,0,0,0.9,0,0
 48-58,0,0,0,0.63,0,65.61,0,0,10.16,0,0,0.48,0,0,0,0,0,20.74,0.81,2.86,118.84,0,0.97,0.69,0,0,1.08,0.65,0,0,0,0,29.35,0,0,0,0,0
 60-70,0,0,0,2.33,0,74.13,0,0,2.47,0,0,0,1.3,0,0,0.82,1.49,9.51,5.83,0,128.24,6.04,1.17,0,0,0,0,0,0,0,0,0,21.6,0,1.29,1.57,0,0
 72-82,0,0,0,0,2.58,45.98,0,0,3.3,0,0,0,0,0,0.64,0.62,0,20.61,0,4.27,92.17,0,0,1.09,0,0,0,0,0,0,0,0,9.8,0.97,0,0.5,0.75,0
 84-94,0.62,0,0,1.18,0,38,0.7,0.87,3.29,0,0,0,1.38,0,0,1.03,0,21.72,0,2.59,79.27,1.31,0,0,0,0,0,0,0,0,0,0,13.68,0,0,0.6,1.62,0
 96-106,0,0,0,1.27,1.85,31.5,0.88,0.99,11.56,0,0,0.8,0.91,0.63,0,1.7,0,11.71,3.7,6.34,72.74,0.62,2.62,0.62,0,1.37,0.74,0,0,0,0.6,0,3.76,0,0,4.25,2.25,0
108-118,0,0,0,4.19,0,28.97,2.94,0,9.11,0,0,0,1.03,0,1.25,1.65,0,31.89,0.74,0.74,109.74,0.44,2.59,2.25,0,0,1.32,0,0,0,0,0,6.66,1.31,0.53,3.41,1.03,0.97
120,0,0,0,4.07,2.37,64.4,0,0,11.38,2.12,0,0,0,0,0,2.12,0,10.53,0,1.09,69.81,1.96,0,0,0,0,1.22,0,0,2.05,2.95,0,1.57,0,0,0,3.77,0
