stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,692.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,2.08,1.55,0,0,0,0,0,3.55,0,1.19,2.64,0,0,0
 24-34,3706.35,3.91,3.85,0,0.79,0,0,2.25,1.51,0,0,0.72,3.58,1.07,0,0,9.21,0,0,6.93,62.43,1.02,0,1.6,0,0,0,0,1.49,5.8,0,2.84,0
 36-46,1636.17,2.38,0,0,4.26,0,0,247.96,0,0,0,0,0,0,0,0,5.34,0,0,2.02,36.36,0,0,0,0,0.98,0,0,0,6.06,0,0.64,0
 48-58,3712.1,0,0,0,463.23,0.85,1.09,2.48,0,0,0,0,347.6,0.45,0,0,24.07,1.16,0.46,0.42,1513.73,0,0,0,0,2.5,0,0,0,7.01,0,0,4.22
 60-70,1119.84,4.22,1.38,0,30.98,1.72,2.5,2.49,0.66,0,1.84,0,0,0,0,0,25.11,0.84,0,1.48,125.66,0,0,0,0,0,0,0.59,0,3.43,0,13.2,0
 72-82,3985.19,15.68,2.41,2.97,135.82,0,0,3.68,0,1.49,2.21,0,0,0,0,0,27.47,0,2.79,6.69,2833.76,0,0,0,0,2.42,0,0,0,1.06,0,0,0
 84-94,6168.08,0.72,13.37,0,94.46,0,1.55,4.89,226.1,0,0,0,0,0,0,0,23.79,0,0,6.3,269.23,0,0,1.69,0,1.05,0,0,0,0,0.63,1.25,2.23
 96-106,986.22,4.35,6.63,1.87,246.09,0,0,9.28,0,0,0,0,0,1.76,0,0,19.18,0,2.39,0.66,48.66,0,1.71,0.73,0,14.09,0,0.78,0,2.65,5.13,9.2,3.85
108-118,3686.1,3.08,0.53,2.38,12.21,0,0.89,4.64,0.58,0,0.94,0,0,0.5,0.42,0.72,19.45,0,0,0.85,110.54,0,0,0,0,0.98,0,0,0,0,4.91,0,0
120,4656.93,24.88,0,0,45.77,0,0,22.17,0,0,8.41,0,0,0,1.12,0,35.85,0,0,33.46,608.81,0,12.85,0,19.01,0,0,1.21,0,0,0,0,0
