stage,axial,blastomeres,eye,fin_epithelia,glial,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm
  3-4,15.77,50.4,0,0,0,0,0,0,0,0,0,19.87
  5-6,0,44.08,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.49,0
 10-12,0,0,0,0,0,0,0,0,8.61,0,0,0
 24-34,0,0,2.63,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.65,0,1.36,0,0,0,3.95,0,0,0
 48-58,0,0,0,0,0,0,0,1.09,0.9,0,0,0
 60-70,0,0,14.46,0,1.99,0,0,0,0,0,0,0
 72-82,0,0,40.01,0,0.6,2.32,0,0,1.2,0,0,4.78
 84-94,0,0,49.07,0,0,0,0,0,0,0,0,0
 96-106,0,0,45.49,0,0,0,0,1.48,4.08,0,0,0
108-118,0,0,40.94,0,1.83,0,1.07,0,3.75,0,0,0
120,0,0,41.75,2.21,0,0,0,0,0,2.8,0,0
