stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.57,283.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0
  5-6,0,48.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,0,0,0,12.04,0,0,7.62,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.9,9.27,0,2.14,0,0,0,0,0,0.93,0,0,0,0,5.49,0,0,0,0,0,49.01,0,1,0,0,0,0,0,2.03,0,29.09,0,0,12.95,0,0
 24-34,0,0,0,2.04,0.79,0,7.63,0,0,0,0.94,0.63,4.66,0,0,0,0,1.3,3.04,2.52,0,0,3.12,504.08,0.68,29.66,2.6,0,0.99,0.83,0,7.6,0,122.77,0,0,41.75,0,0
 36-46,0,0,0,1.07,0,0,47.92,0,0,0,5.75,0,0,0,0,0,0,6.49,38.4,9.24,0,0,0,1511.2,0,13.55,0,0,0,1.68,0,13.29,0,310.36,0,0,29.86,0,1.43
 48-58,0,0,0,9.13,0,0,264.97,0,0,0,44.19,0.91,1.34,0,0.38,1.25,0,0.44,15.43,9.73,0.83,1.21,6.25,2338.49,3.77,16.09,6.92,0,0,0.5,0,3.02,2.2,342.28,0,0,29.91,0,0
 60-70,0,0,6.75,6.1,5.79,0,686.99,0,0,0,158.98,0.89,11.89,3.65,6.11,0,2.53,0,6.56,26.69,1.02,11.76,0.8,2783.3,0,7.95,6.52,0,0,4.93,0,19.76,0,341.33,0,0,31.17,0.81,9.78
 72-82,0,0,0.58,4.6,8.95,0,988.24,0.79,0,1.36,189.66,11.16,3.23,8.81,4.53,1.98,3.58,1.79,6.66,49.19,0,1.81,1.7,2320.48,0,26.22,11.25,0,0,2.17,0,9.31,0,168.44,0,0.87,46.49,0,8.08
 84-94,0,0,0,4.03,13.47,0,706.99,0,0.56,0,188.66,7.48,4.17,2.2,3.43,4.32,2.24,0.85,31.1,51.16,0,4.08,0,1621.37,0,7.68,2.99,0,0,8.48,0,13.4,0,78.38,0.9,4.73,26.81,2.08,0
 96-106,0,0,2.4,15.25,18.21,0.62,817.01,0,0,2.69,173.71,8.33,2.39,0,4.39,5.21,5.14,15.42,4.42,37.29,0,0,1.21,1323.41,1.64,24.5,4.99,0,1.47,3.88,0,11.46,0,85.26,0,0,48.38,0,0
108-118,0,0,0,22.6,5.54,5.63,573.78,0.64,0.52,0,166.25,16.91,3.5,0.42,4.07,1.1,5.35,1.54,13.86,42.19,0,0,2.17,1691.66,0.85,23.01,15.26,0,0,3.92,0,8.58,0,31.66,0.52,1.8,30.7,0,0
120,0,0,0,22.69,4.31,0,619.74,0,1.09,0,210.05,29.56,0,0,13.89,0,2.21,2.88,3.89,36.43,0,6.11,11.64,2847.64,0,24.78,23.16,0,17.39,1.54,0,10.51,0,106.94,0,0,76.09,3.36,13.4
