stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  3-4,11.51,133.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0
  5-6,142.72,420.65,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,275.33,14.47,0,0,0,15.04,0,0,0,0,0
  7-9,21.35,0,128.8,0,0,0,0,0,0,45.12,0,0,0,0,0,0,63.05,6.92,0,0,31.8,0,5.18,0,0,0,0
 10-12,0,16.97,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,82.13,0,0,0,31.04,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,266.72,0,0,0,2.58,1.23,0,0,0,18.02,0,48.47,2.42,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,117.68,0,0,0,10.21,0,0,0.62,0,12.39,0,31.38,0,4.75,0
 36-46,0,0,0,0,0,0.59,0,0,0,0,0,0,65.97,0,0,0,3.35,0,0,1.97,0,4.29,0,5.31,0,0,0
 48-58,0,0,0,0,0,0.5,0,1.09,0,0,0,0,17.85,2.67,0,0,2.66,0,0,2.95,0,3.28,0,0,1.06,0,0
 60-70,0,0,0,0,0,13.84,0,8,0,0,0,0,21.1,19.01,0,6.76,2.15,0,0,0.72,0,3.55,0,0,0,0,7.21
 72-82,0,0,0,0,1.18,42.06,0,12.49,0,0,0,2.05,9.61,103.05,0,0.56,5.87,0,0,7.23,0,0,0,0,0,0,0
 84-94,0,0,0,1.41,0,231.72,0,10.08,0,0,4.01,0,16.36,87.8,0,0.75,28.06,0,0,11.06,0,7.95,0,0,0,0,0
 96-106,0,0,0,0.92,7.67,373.52,0,46.13,0,0,0.74,0,21.03,358.79,0,0,30.81,0,2.3,8.16,0,3.49,0,0,0,2.65,0
108-118,0,0,0,0.61,5.77,705.99,1.62,31.64,3.01,0,0,0.89,0.48,337,2.89,0,23.45,0,0,16.75,0,0,0,0.43,0,0,0
120,0,0,0,2.79,0,333.67,0,15.16,0,0,0,0,3.13,497.61,0,4.8,36.65,0,0,0,0,1.42,0,0,0,0,0
