stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,44.65,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,513.2,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,252.17,0,0,0,18.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.05,0,0,14.13,0,0,0,0,10.2,0,0,0,0,0,0,0,0,31.57,3.54,0,0,205.19,0,0,0,0,29.48,0,0,0,0,0,0
 14-21,0,0,0,3.45,0,0.84,0,0,0,0,0,0,0,0,0,0,5.86,0,0,4.62,0.82,1.04,1.01,15.37,0,2.32,39.75,2.56,84.18,0.95,0,0,0,0,0
 24-34,0,0,0,2.23,0,10,0,5.74,0,0,0,1.45,0,1.72,0,0,11.07,0,1.71,8.28,8.29,0.72,0,0,0,0,0,0,3.54,0,0,0,2.42,0,1.71
 36-46,0,0,0,0,0,25.57,0,1.16,0,0,0,0,0,0,0,0,34.61,0,3.14,44.21,1.29,5.91,0,0,0,0,0,0,0,1.7,0,0,0.81,0,19.45
 48-58,0,0,0,0,0,38.92,1.19,0,0.44,0.8,0,0.45,0,0,0,1.91,279.16,0,7.36,79.59,0.48,2.34,0,0,0,0,0,0,0,3.01,0,0,0,0,5.78
 60-70,0,0,0,0,0,85.18,0,1.25,0,20.22,0,0,0,0,4.64,0,505.44,0,5.66,87.11,3.57,0,1.84,0,0,2.65,0,0,0,3,0,0,0,0,0
 72-82,0,0,0,0.69,0,34.47,0,0,0,33.14,0,0,0,0,10.75,0,398.73,0.64,0,60.29,0,0,0,0,6.34,0,0,0,0,10.75,2.8,0,0,1.24,2.17
 84-94,0,0,0,2.14,0,59.86,0,0,0,27.56,0,0.78,0,0,0,0,463.83,0,0.87,77.66,1.5,0,0,0,0,0,0,0,0,2.34,0,2.26,0,1.59,2.54
 96-106,0,0,0,1.39,2.27,73.03,0.67,0.57,0,22.91,0,0.73,0.78,0,0.63,0,209.73,0,1.04,78.81,0,1.68,1.76,0,0,0.86,0,7.42,0,3.23,0,0.96,0.93,0,8.27
108-118,0,0,0,1.1,5.22,45.48,0.55,0.59,0,65.45,0,0,2.84,0,0,0,198.76,0,3.81,51.24,0.41,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0
120,0,0,0,0,4.98,31.32,0,0,0,101.11,0,0,0,0,0,3.74,191.94,0,0,77.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
