stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,41.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,123.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8592.89,6.61,7.14,0,0,0,12.52,0,0,0,0,0,466.94,0,0,0,0,0,0,0,0,0,0,130.85,7820.02,0,0,99.42,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,20.19,30.93,69.83,0,0,0,13.39,0,0,0,0,0,16.87,0,0,0,0,0,0,0,0,0,0,294.81,10364.43,0,0,156.9,0,0,0,0,56.81,0,0,0,0,0,0,0,0
 14-21,0,0,1.49,0.85,14.58,0,0,0,0,0,0,4.36,0,0,0,0,0,0,0,180.66,0,0,604.14,25.39,1711.62,0,0,1.95,0,0,0,57.58,2.65,5.59,54.12,298.68,0,0,0,0,0
 24-34,0,0,0,1.59,0.61,0,1.67,0,0,0,0,0.71,0,0.86,0,0,0,0,5.22,550.03,0,0,603.39,72.68,97.89,0,0,0,0,0.71,0,15.2,1.45,3.58,9.88,192.89,0,0,0.65,0,0.72
 36-46,16.91,0,0,1.07,0,0,4.81,0,3.44,7.97,3.51,0,0,0.84,0.64,0,0,0,0,639.65,0,8.83,346.25,138.18,18.43,0,0.72,0,0.97,8.09,0,3.27,1.44,0,0,180.34,0,5.7,0,0,0
 48-58,2.3,0,0,5.35,2.29,0,31.43,0,1.26,13.02,2.62,0,0,0.55,0.97,0,7.19,0,0,1311.87,0,0,225.04,185.77,0,0,0,0,1.98,3.83,0,0,0,0,0,36.5,0,2.58,0,0,0
 60-70,0,0,0,1.77,2.11,0,44.23,0,0.59,29.83,2.31,0,0,0.93,5.85,0,0,0,0,2587.49,0,1.64,87.92,161.61,0,0.74,0,0,0,0,0,0,0,0,0,15.84,0,17.46,0,1.6,0
 72-82,0,0,0,22.93,0,0,77.4,1.32,9.96,28.83,27.04,3.53,0,0,2.2,0,0,2.75,2.9,3835.72,1.84,11.2,141.89,152.32,0,1.63,1.51,0,4.28,4.71,0,4.38,0.97,1.06,0,31.06,0,22.23,0,6.65,2.8
 84-94,5.55,0,0,12.3,0.87,0,197.44,0,0,45.95,10.28,1.16,0,0,9.77,0,0,2.91,0,3486.55,0,6.15,112.39,56.71,0,0.6,0.89,0,2.26,1.23,0,0,2.8,0,0,23.36,0,28.36,0,6.71,6.4
 96-106,1.12,0,0,13.83,10.93,5.36,90.95,4.93,2.18,12.82,13.02,0,0,9.33,1.89,0,0,1.17,0,2716.97,0,3.39,118.63,76.68,0,0,0,0,6.15,7.57,0,0,2.19,5.77,0,0,0,14.39,9.12,2.74,0
108-118,0,0,0,8.81,7.15,0,50.4,0,0.46,40.12,13.78,0,0,0,0,2.9,0,0.86,2.84,3210.02,0.59,19.41,63.07,146.52,0.46,0,1.26,0,19.44,2,0,0,0,0,0,4.54,1.01,30.71,0,3.76,0
120,0,0,0,10.07,3.9,0,60.92,0,0,28.42,3.67,0,0,0,0,0,0,0,17.34,2887.89,0,4.29,51.38,51.96,0,0,1.43,0,7.96,0,0,0,0,0,0,37.59,4.63,30.42,16.67,9.85,0
