stage,endocrine_pancreas,erythrocytes,eye,fast_muscle,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.9,1.32,0,0,0.87,0.68,0,0
 36-46,0,0,0,0,0,0,0,2.15,0,0,0,0,5.04,0,0.89,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.79,0,0,0,4.36,13.33,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.64,0,0.77,0,0,0,12.68,15.42,0,0,0,0,0,7.02,0
 72-82,0.71,0,0.88,0,0,0,0,1.53,0,0,0,5.96,29.55,0,0,0,0,0,4.54,0
 84-94,0,1.1,0,0,1.33,0,0.65,5.81,0,0,0,21.11,21.23,0,0,0,0,0,1.37,0.58
 96-106,0,0,6.85,0,1.62,0,0,20.57,0.6,0.82,0,1.84,33.05,6.66,0,0,0,0,0,0
108-118,0,0,1.74,0.44,0.41,0,0,6.8,0,0,1.14,7.51,15.11,0.97,0,0.64,0,0,0,0
120,0,0,0,0,0,0,0,15.6,0,1.14,0,3.16,10.93,15.74,0,0,0,0,0,0
