stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.1,176.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.06,490.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,6.91,10.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.87,10.14,0,31.75,0,0,9.21,0,0,0,0,0,67.85,0,0,0,0,0,0,0,0,0,0,0,347.16,0,0,0,54.27,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.58,0,59.57,0,21.93,19.3,0,0,0,0,0,65.28,0,0,0,0,0,0,0,0,0,0,0,1576.07,39.18,0,0,302.12,0,0,0,89.74,0,0,8.87,0,0,0,0,0
 14-21,0,0,2.35,0.8,132.66,22.79,22.24,0,0,0,574.05,2.43,15.87,1.46,1.59,0.96,0,0,0,0,57.53,0,0,24.1,3044.53,93.52,0,1.54,7.38,0,0,70.38,0,5.02,82.14,3628,0,0,1.63,0,0
 24-34,0,0,0.8,0,21.67,3.56,52.95,0,0,0.61,707.55,3.99,0,2.56,2.11,1.46,0,0,0,0,27.72,0,0,15.57,7051.48,10.05,3.29,0.61,0,24.22,0,0,1.44,0,5.77,4235.59,0,0,28.13,0,0
 36-46,0,0,1.4,0,3.7,0,294.47,0.64,0,0,416.18,0,0,2.94,2.12,0,0,0,0,0,15.42,0,0.71,7.83,8610.03,2.64,0,2.18,0,24.92,0,0,0,0,0,4107.72,0,0,9.76,0,0
 48-58,0,0,0,0,9.77,0,836.33,0,0,2.1,475.59,0,0,2.18,0.45,0.52,0.81,0,0.66,6.74,21.89,0,0.56,5.23,3851.77,6.01,1.69,1.49,0,1.86,0,0,0,0,0,2108.41,0,0,4.86,0,17.68
 60-70,0,0,0,0,25.47,0,1036.76,0,0,0,488.4,0,0,0.77,0,0,12.84,0,0,0,16.37,0,5.31,0,1303.85,0,0,2.05,0,2.98,0,0,0,0,0,464.76,0.77,0,3.68,0,0
 72-82,0,0,0,0,14.87,6.79,869.42,1.55,0,2.52,696.38,6.75,0,0,8.52,0,22.49,0,0,0,41.5,0,0.75,1.07,573.41,0,4.5,7.76,0,2.94,0,0,0,0,0,182.86,2.15,0,1.76,0,10.34
 84-94,0,0,0,0,14.79,0.83,829.61,0.61,0,6.55,672.52,0,0,0,0.58,3.26,5.16,0,0,0,49.66,0.76,4.22,2.96,579.7,0,0,1.45,0,3.85,0,0,0,1.18,0,253.15,0,1.23,1.18,0,0
 96-106,0,0,0,0,9.71,9.23,867.29,3.64,11.93,17.13,692.68,2.18,0,0,0.73,0,2.79,1.3,1.54,0,29.43,0,3.22,1.37,584.01,0,0,5.44,0,2.8,3.82,0,0,0,0,223.15,2.39,2.88,1.88,2.41,10.89
108-118,0,0,1.12,0,11.93,5.11,909.83,1.14,2.16,0.43,957.33,1.46,0,0.51,4.58,1.67,4.74,0,0.51,0,54.9,0,0,2.23,806.98,0,7.01,1.88,0,1.61,0,0,0,0,0,121.15,3.1,2.28,3.65,0,2
120,0,0,2.94,0,9.76,17.31,431.93,1.06,0,0,766.3,0,0,0,2.35,0,0,0,2.7,0,33.58,1.49,2.22,0,554.71,0,0,0,0,3.1,0,0,0,0,0,61.62,1.06,0,9.86,0,0
