stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,3.31,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,28.16,0,0,0,30.09,0,0,0,0
 36-46,0,0,0,1.44,0,0.99,0,0,0.88,0.91,28.4,0,0,0,41.82,0,0,0,0
 48-58,0,0,0,0.79,0,0,0,0,0,0,107.78,0,0,0,37.33,0,0,0,0
 60-70,0,0,0,3.01,0,0,0,0,1.63,0,143.16,0,0,3.22,26.06,0,0,0,0
 72-82,0,2.13,0,37.57,0,2.52,0,0,0.99,0,381.33,0,0,0,64,0,0,0,1.49
 84-94,0,1.96,0.58,22.86,0,8.8,0.64,0,1.31,0,365.74,0,0,0.75,26.51,0,0,0,0.72
 96-106,0.81,4.03,6.97,92.05,0,22.31,0,0,2.11,0,530.26,2.84,1.78,0,29.73,1.13,1.16,0,1.05
108-118,0,3.57,0,114.02,2.91,40.96,0,0,6.98,0.53,770.11,0,0.54,0,56.16,0,0,0.84,0
120,0,27.73,0,96.84,7.2,72.63,0,5.48,0,11.14,1194.57,0,0,2.27,79.01,0,2.12,0,0
