stage,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle,xanthophores
 14-21,1.2,0,0,0.84,0,0,0,0,0,0.85,0,0,17.68,0,0,0,3.26,0.87,0.95,5.99,0,0
 24-34,1.72,0.69,0,0,0.89,0,0,0,0,1.51,0,0,28,0,0,0,0,0,0.66,47.84,0,0
 36-46,0,0.65,0,0,0,0,0,0,0,0,0,0,63.49,0,0,1.43,0,0,0,123.9,0,0
 48-58,0.43,9.5,0,0,0,1.42,0,0,0,0.85,0,0,181.97,0.88,0,0,0,1.22,0,328.91,0,0
 60-70,5.13,10.85,0,0.94,1.21,1.48,0,0.67,0,0,3.37,0,106.12,0,0,2.5,0,0,0,321.72,0,0
 72-82,0,6.97,0,0.89,0,0,0,0,1.59,0.69,0,1.36,87.45,0,0,0,0,0,0,483.71,0,3.38
 84-94,2.27,8.2,0,0,2.22,0,0,0,0,1.18,0,0,77.77,0.56,0,1.03,0,0.7,0,155.86,0,0
 96-106,1.03,4.67,0,0,1.56,0,1.23,0,0,16.74,0,2.55,102.36,0,0,0,0,0,0,407.95,0,0
108-118,2.07,10.22,4.98,0,0,0,0,0,0,0,0,0,24.05,2.89,0,0,0,0,0,178.25,1.13,0
120,2.55,0,0,0,9.4,0,0,0,0,0,1.65,0,45.41,0,13.55,0,0,0,0,30.34,0,0
