stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56,0,0,3.6,0,0,0,0,0,0,0,0
 14-21,0,6.41,4.29,0,0.91,0,0,0,0,0,0,0,0,0,0.98,0.84,10.35,0,0,0.99,0,15.3,0,5.25,7.34,0,0,0
 24-34,0,0.69,0,0,1.38,0,0,1.05,0,1.45,0,0,0,5.46,1.82,0,10.96,0,0,0,1.95,0,0,0,4.5,0,1.05,0
 36-46,0,10.92,0,0,2.03,3.81,0,0,0,0,0,0,0,0,0.94,0,15.75,0.6,0,0,11.98,0,0,0,0,0,0,0
 48-58,0,3.95,0,0,11.4,3.69,0,1,0,0,0,0,0,0,3.8,0,22.38,0,0,0,2.12,0,0,0,2.36,0,5.88,0.53
 60-70,0,0,0,0,1.4,0,0,0,0,0,0.57,0,0,0,0,0,6.91,0,0,0,6.55,0,0,0,0,0,0.57,0
 72-82,0,0,0,0,10.13,0,0.76,0,0,2.21,0,0,0,0,2.05,0,9.6,0,0,0,0,0,0,0,1.16,0,6.85,0
 84-94,0,0,0,0,6.7,0,0,3.98,0.64,0,0,0,0.79,0,2.82,1.23,3.74,0,0,0,0.65,0,0,0,1.47,2.16,0,0
 96-106,0,3.29,0,0,5.57,0,0.75,0,2.5,0.78,1.61,0,0,0,2.48,0,3.25,0,0.79,0,2.39,0,0,0,0,0,2.55,0
108-118,0,1.03,0,0.65,10.38,0.88,0,5.34,0,0,3.37,0.47,0,0.42,4.83,0,2.82,0,0.54,0,5.81,0,3.45,0,0,1.66,3.65,0
120,0,7.74,0,0,14,0,0,4.75,3.54,0,11.77,0,0,1.37,10.6,0,13.36,0,0,0,1.34,0,0,0,0,0,10.6,0
