stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,4.75,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.62,0,0,23.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,85.92,0,8.73,0,0,0,6.93,0,0,1.01,17.93,0,4.1,18.73,0,0,0,0,3.32,0.84,1.89,0,0,0,0
 24-34,0,0,0,4.49,0.62,0,0,0,0,0,1.16,0,0,39.57,0,0,7.98,0,0,0,0,0,0,4.33,0,0,0,0
 36-46,0,0,0,2.43,0,0,0,0,0,0,0,0,0,31.51,0,1.16,15.44,0,0,0,0,0,0,4.65,0,0,0,0
 48-58,0,0,0,2.77,0,0,0,0,0,0,0,0,0,25.81,0,2.25,69.97,0,0,0,0,0,0,0.96,0,0,0,0
 60-70,0,0,0,0,0,11.55,1.25,0,0,0,0,0,0,15.83,0,0,138.75,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.88,0,3.82,49.84,0,50.59,0,0,0,0,0,10.01,0,4.24,787.38,0,6.33,0,0,0,0,0,1.36,0,0.72,0
 84-94,0,0,0,0.77,0,21.59,0,0,0,0,0,0,0,8.7,5.01,0,796.38,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.96,0,24.36,1.01,8.27,0,2.38,0,0,0,11.82,0,0,999.89,0,0,0,1.92,0,0,0,0,0,0,0
108-118,0,0,0,0,1.37,20.08,1.41,0,0.5,0,0.96,0,0,26.33,0,11.52,2318.74,0.49,0,0,0,0,0,0,0,1.59,0,0.49
120,0,0,0,11.76,0,46.37,0,17.51,0,0,0,54.74,0,0,0,0,2440.24,11.55,0,0,0,0,0,0,0,0,0,0
