stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.97,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.17,4.42,0,0,15.57,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.47,0,0,0,0,0,0,0,1.36,43.23,0,0,0,0,0
 24-34,0,0,1.49,0,20.51,0,0.8,0,44.24,0,0,0.64,0,0,0.76,0,4.74,0,0,2.87,3322.42,0,0,0,0,1.46,1.32,10.5,2.22,563.1,0,0,0,0,0
 36-46,0,0,1.64,0,60.75,1.38,0,1.46,668.18,0,0.87,1.77,3.68,0,0,0,1.31,0,1.26,1.56,4837.29,0,0,1.34,0,5.05,1.06,0,0,929.62,0,0,1.8,0,0
 48-58,0,0,8.04,0,177.23,0,0,0.61,1056.95,0,0,0,1.49,0,0,5.55,9.14,0,0,3.52,3400.54,0,1.25,0,0,8.75,0,0,0,1217.11,0,0,0.47,0,16.81
 60-70,0,1.36,14.05,2.56,139.87,0,0,0,1131.37,0,0.65,0,0,0,0,0,4.55,0,0.65,0,2243.02,0,1.09,1.51,0,1.83,0,0,0,516.9,0,0.8,0.87,0,0
 72-82,0,0,3.85,0.51,102.82,0,0,4.55,1024.98,0.81,3.15,0,1.42,0.64,0,1.42,21.73,0,1.01,2.51,1106.51,0,1.33,0.9,0,0.62,0.64,0,0,69.17,0,0.78,0,3.97,16.32
 84-94,0,0,5.85,0.92,100.08,0,0,1.42,565.73,0.82,0,0,0.62,0,0,0,6.04,0,0,0,473.38,0,0,0.87,0,2.29,0,0,0,86.62,0,0,0,0,0
 96-106,0,0,16.05,1.01,64.59,1.75,0,0,611.82,0.69,0.96,0,0,0,0,1.06,8.71,0,0,0,465.95,0,3.61,0,0,3.02,0,0,0,30.88,0,0,0,0,0
108-118,0,0,7.39,0,44.79,0,0,0,660.81,0,0,0,0,0,0.56,0,11.02,1.22,0,0.43,574.16,0,0,0.48,0,0,0,0,0,7.06,1.6,0,0.44,0,0
120,0,0,16.34,0,188.2,0,0,0,1422.92,0,6.17,0,0,0,0,0,7.04,0,0,0,1034.06,0,0,1.86,0,4.61,0,0,0,69.63,0,0,0,5.18,0
