stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.8,260.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.52,202.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,15.72,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.38,0,0,0,10.04,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,35.56,0,0,0,16.44,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.34,0,0,0,12.63,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,57.19,10.78,0,0,55.11,0,10.74,7.65,0,0,0,0,0,0
 14-21,0,0,1.11,0,3.14,0,0,0.9,0,0,0,2.69,0,0,0,0,0,0,0,0,3.88,0,0,4.38,33.3,2.02,0.93,0,0.96,0,0,0,0,5.33,10.51,0,0,0
 24-34,0,0,0,0.6,5.65,0,0,4.95,0,0.94,0,0,0,0,0,0,0.59,0,0,0,13.86,0,0,4.61,94.82,1.57,3.66,0.7,0,4.72,0,1.13,0,0.67,21.76,0,0,0
 36-46,0,0,0,0,1.94,0,0,30.27,0,0,0,1.24,0,0,0,0,1.67,0,0,0,13.22,0,0,3.02,238.83,0.78,0,0,0,3.4,0,0,0,0,30.74,0,2.45,2.73
 48-58,0,0,0,0,4.18,0,0,36.9,0.9,0.44,0,12.13,0,0,0,1.75,6.79,0,0,0,9.16,0.57,0,2.91,175.26,0,0,2.13,0,3.39,0,0,0,0,16.25,0,0.44,0.56
 60-70,0,0,0,0,3.71,0.82,0,117.94,0,0,0,11.28,0,0,0,0,1.02,0.67,0,0,18.98,0,1.04,0.59,242.36,0,1.27,0,0,7.8,0,0,0,0,22.69,0.9,0.75,0
 72-82,0,0,1.15,0,4.59,5.61,0,110.66,0.9,0,2.21,15.32,0,0,0,0,0,0,0,0,35.49,0.94,0,0,195.51,0,1.07,0,0,2.97,0,0,1.05,0,10.5,0,3.84,8.17
 84-94,0,0,1.29,0,0.62,1.6,0,49.03,8.29,0.66,2.15,5.13,0.69,0,2.1,0,0,0,0.81,0,21.16,0,0,0,72.3,0.61,0.9,0,0,9.88,0,0,0,0,11.54,0,4.22,3.76
 96-106,0,0,0,0,2.89,2.25,0,48.45,0,0.6,0,14.37,1.52,0,1.61,1.03,1.63,1.14,0,0,14.85,0,0,0,62.29,0.66,0,2.4,0,3.94,0,0,0,0,0,0.57,1.54,0
108-118,0,0,0,0,5.83,9.78,0,65.01,0,0,1.27,14.94,0,0,0,0.43,0.71,0,0.48,0.92,17.64,2.13,0,2.3,91.85,0.41,0,0,0,4.37,0,0,0,0,2.32,0.85,0,0.49
120,0,0,3.73,0,32.5,0,2.35,109.82,0,2.91,1.44,32.06,4.03,0,0,2.39,2.36,3.04,0,0,26.23,0,0,2.2,288.28,0,0,3.16,0,1.76,0,0,0,0,36.36,0,15.94,0
