stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,13.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.11,0,0,0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.32,0,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.76,16.75,2.87,0,2.67,0.82,0,5.32,1.46,0,0,0,0,0,0,0,9.05,0,0,11.62,129.4,6.03,0,0,0,0,6.15,0,5.6,0,15.94,9.09,32.42,0,0,2.69,0,0
 24-34,0.83,0,0,7.46,0,0,14.68,2.17,0.62,6.59,1.68,0,0,0,0,0,0.78,0,22.19,0,0,2.18,107.6,0,1.91,0.68,0,0,10.36,0,0,0,1.54,0.59,38.41,0,0,15.99,0,0
 36-46,0,0,0,3.88,0,0,8.14,1.19,0.81,3.53,0,0,0.72,0,0,0,0,0,18.19,0,0.72,4.62,78.14,6.62,2.08,6.96,0,0,27.92,0,0,0,0,0,19.43,0,0,5.39,0,0
 48-58,0,0,0,7.26,0,0,28.58,7.24,0,16.3,0,0,0.42,0,0,0,0,0,21.56,4.38,0.4,3.45,107.91,4.09,1.23,1.2,0,0.97,10.33,0,0,2.28,0,0,17.1,0,0,6.87,0,0
 60-70,0,0,0,6.59,0,0,22.62,0,1.59,21.58,2.28,0,0,0.82,0,1.52,1.87,0,28.11,0,0,4.81,45.29,4.11,1.67,0,0,0,19.56,0,0,0,0,0,9.43,0,1.49,2.57,0,9.77
 72-82,0,0,0,2.2,0.54,0,42.64,2.05,1.86,23.32,1.69,0,0,1.08,0.7,0.57,1,0,51.95,0,0.57,5.75,111.03,0.52,1.49,3.87,0,1.08,8.62,0,0,0,0,0,8.3,0,1.39,2.54,1.08,0
 84-94,0,1.95,0,12.29,0,0,37.72,3.2,3.73,33.37,4.18,1.23,0,5.75,0,1.06,2.31,0,70.48,0,0,1.63,57.31,1.52,1.91,0,0,0,48.66,0,0,0,0,0,10.19,1.44,0,11.25,0,2.81
 96-106,0,4.94,0,15.01,0,0,24.87,1.54,3.71,58.26,3.12,0,6.56,6.44,1.45,1.6,2.22,6.32,61.93,7.07,5.65,5.93,52.07,3.21,8.93,3.78,0,1.05,58.87,2.06,0,0,0,0,11.95,5.18,1.95,8.41,4.84,1.89
108-118,0,3.12,0,13.74,1.81,0.45,38.05,7.63,2,44.77,2.44,0,1.56,3.67,4.11,2.02,3.45,0,109.54,0,5.27,13.71,143.35,2.07,4.83,3.79,0,3.07,36.45,0,0,0.95,0,0,13.59,2.78,0.64,14.95,4.89,11.47
120,0,0,0,11.43,0,0,67.73,3.34,9.61,120.5,0,0,0,5.3,3,0,7.92,2.49,109.58,0,0,7.41,181.05,2.06,3.06,2.66,0,0,37.14,0,0,1.62,0,0,8.59,0,0,10.04,0,0
