stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.37,968.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0
  5-6,76.58,429.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.91,0,0,0,36.46,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.94,0,0,0,22.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.1,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,6.37,15.83,0,0,103.64,0,0,4.43,8.35,0,33.08,0,0,0,0,0,0
 14-21,0,0,1.41,7.45,0.96,3.52,0,0,0,0,0,1.76,28.09,0,0,0,0,0,0,17.24,0,0,17.18,30.78,25.32,0,0,16.27,0,3.11,113.71,0,576.17,1268.15,11.33,0,0,0,0,4.37
 24-34,0,0,0,6.88,3.01,25.42,92.52,0,0,0.76,0,0,15.56,0,0.71,0,0,0,2.57,7.04,0,0,82.17,99.15,6.67,4.38,6.55,1,0,11.12,0.71,0,210.16,343.5,33.27,0,0,0,0,14.05
 36-46,0,0,0,1.4,1.22,24.88,163.58,3.94,0,4.47,0,0,7.92,0,0,4.59,0,0,0,6.46,0,0,21.45,80.19,6.76,0.93,1.42,0,0,8.24,0,0,108.48,8.4,45.95,0,0,0,0,20.8
 48-58,0,0,0.68,1.06,4.55,45.07,124.14,0,0.57,9.82,0,0,2.66,0,4.73,2.53,1.69,0,2.2,4.48,0,1.85,51.81,117.07,4.24,0,7.16,0,0,0.96,0,0,45.27,0.55,36.11,0,0,0,0,21.35
 60-70,0,0,0,0,5.6,72.17,110.03,0,0,30.8,0,0,4.25,1.47,0,11.48,0.65,0,0,15.3,1.09,1.69,50.37,106.48,1.06,0,7.02,0.81,0,7.84,0,0,17.17,0,14.65,0,7.58,3.12,6.32,11.29
 72-82,0,0,0.6,0.53,9.11,62.91,69.91,0,0.58,45.41,0,0,0.53,0,0,17.05,0,0,0.64,11.65,0,13.3,47.06,137,0,0,14.45,0,1.12,6.47,0,0,10.16,0,11.15,0,6.53,0,37.31,20.64
 84-94,0,0,0,6.69,21.51,64.62,81.27,0,0,41.07,0,0,2.85,0.6,0,19.51,0.58,0,0,3.59,0,5.7,45.54,145.78,0,0,28.85,3.85,0.77,2.61,0,0,20.8,0,7.71,0,5.41,0,51.79,0.69
 96-106,0,0,0,13.2,44.4,32.8,82.92,0,0,93.28,0.61,0,3.99,1.87,0,14.61,6.63,5.54,0,23.28,0,0,64.53,116.91,0,0,20.3,0,1.58,10.85,0,0,16.47,0,0,2.19,13.24,7.78,69.94,9.94
108-118,0,0,0.57,0,6.14,51.04,90.92,0.41,0,54.08,4.99,0,8.46,1.17,0.51,17.47,4.22,1.19,2.88,30.01,0,0,67.04,117.7,2.8,0.46,15.53,0,8.23,9.46,0,0,17.36,0,2.65,0,12.75,1.42,38.3,4.72
120,0,0,0,6.96,16.15,37.03,74.5,0,0,66.95,4.78,0,2.18,0,0,18.47,0,0,0,7.07,0,0,126.2,138.27,0,0,20.77,0,0,0,1.12,0,7.38,0,9.96,0,3.17,0,25.98,0
