stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,24.65,9.68,0,0,0,0,0
 10-12,0,0,4.33,0,0,5.32,0,0,84.9,20.11,0,0,8.36,0,0
 14-21,0,2.34,0.83,0,0,0,0,0.87,10.98,0,0,1.13,0,5.85,1.65
 24-34,0,0,1.24,0,0,0,0,0,18.58,0,0,0,0,0,1.99
 36-46,0,0,0,0,0,0,1.39,0,15.39,0,1.46,0,0,0,0.81
 48-58,0,0,3.76,0.45,0.47,0,0.77,0.47,3.34,0,0,0,0,0,0.54
 60-70,0,0,0.92,0,0,0,3.89,0,5.97,0,0,0,0,0,0
 72-82,0,1.03,0,0,0,0,2.22,0,1.33,0,0,0,0,0,0
 84-94,0,0.97,0,0,0,0,0,0.6,4.49,0,0,0,0,0,0
 96-106,0,1.53,0,0,0,0,1.44,0,5.64,0,0.76,0,0,0,0
108-118,0,0,0,0,0,0,2.47,0,16.31,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0
