stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,3939.99,93354.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5075.37,0,0,0,0,0,0,0,0
  5-6,3393.24,38587.83,13.2,0,0,0,0,0,278.68,0,0,0,0,0,0,0,615.14,0,78.66,674.49,0,0,0,0,0,0,0,0
  7-9,31.46,65.91,84.36,0,0,51.79,0,0,42.09,0,0,0,0,0,0,0,902.71,21.23,197.32,0,21.12,0,0,0,0,0,0,0
 10-12,0,5.81,16.59,0,0,21.21,0,0,0,0,0,0,0,0,0,0,125.51,16.6,409.14,0,0,0,15.36,0,0,0,0,0
 14-21,0.89,0,0,0.83,0,0,1.58,0,0,1.36,0,0,0,0.86,0,1.27,24.12,13.48,101.27,0,0,243.11,0,8.5,30.37,4.16,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.66,0.95,0.91,0,0,103.22,3.76,0,0,0,0,0,0,5.4,0,0,0
 36-46,0,0,0,0,0,0,15.13,0,0,0,0,0,0,0,0,0,152.44,0,0,0,0,0,0,0,0,1.2,0,0
 48-58,0,0,0,1.08,0,1.45,8.68,0,0,0,0,0,0,0,0,0,118.13,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.17,0,0,10.85,0,0,0,0,0,0,2.89,5.51,0,28.57,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.51,0.8,1.99,2.44,0,0,0,0,0,0,1.27,0,0,14.57,0,0,0,0,0,0,0,0,0,0,1.95
 84-94,0,0,0,0,0,0,37.72,0,0,0,0,0,0,0.62,0,0,24.76,0,0,0,0,0,0,0,0,7.98,1.15,7.49
 96-106,0,0,0,0,0,9.81,4.52,0,0,1.44,0.77,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,2.05
108-118,0,0,0,0,1.42,7.22,0,0.46,0,0.63,0,0,0,0,0,0,13.66,0,0,0,0,0,0,0,0,0,0,1.1
120,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,3.01,0,0,0,0,0,0,0,0,0,0,2.9
