stage,axial,blastomeres,endoderm,glial,gut,immune,mesenchyme,neural,notochord,paraxial.mesoderm,spinal.cord,vasculature
  3-4,0,59.02,0,0,0,0,0,0,0,0,0,0
  5-6,18.33,43.74,0,0,0,0,0,0,0,0,0,0
  7-9,9.83,0,3.54,0,0,0,0,4.34,4.27,7.03,0,0
 14-21,0,0,0,1.39,0,0,0,0,0,0,1.16,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.89,0.6
 48-58,0,0,0,0,0,0,0.38,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.15,0,0,0,0
 72-82,0,0,0,0,0.51,0,0,0,0,0,0,0
 84-94,0,0,0,1.15,0,0.98,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.71,1.25,1.22,0,0,0,0
108-118,0,0,0,0,0,2.34,0,0,0,0,0,0
