stage,axial,blastomeres,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.96,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.13,6.04,0,2.88,7.32,0,0.95,0,0,0
 36-46,0,0,0,0,0,0,0,1.36,0.64,1.69,0,0.73,8.77,0,0,1.72,0,0
 48-58,0,0,0,0,1.19,0,0.78,1.64,0,5.45,0,0,9.19,0,0,0,2.23,0
 60-70,0,0,0,0,8.11,0,8.34,0.63,0.69,8.29,0,0,7.51,0,0,1.36,0,0
 72-82,0,0,0,0,2.36,0,19.31,0,0,12.72,0,0.53,34.07,0,0,1.77,0,0
 84-94,0,0,0,0,0,0,29.13,0.76,1.37,0.57,0,0.9,32.84,0,0,0,0,0.75
 96-106,0,0,1.43,0,1.06,0,21.93,7,1.82,1.79,0,3.53,34.43,0,0,0.95,0,0
108-118,0,0,1.66,1.93,3.02,1.22,43.03,8.71,0,13.47,0.5,2.57,37.71,0,0,0,0,0
120,1.12,0,0,0,0,0,27.28,7.86,5.88,1.89,0,3.55,12.32,0,0,0,0,0
