stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,474.86,8048.77,0,0,0,0,0,0,0,0,0,0,0,0,0,263.37,0,0,0,0,0
  5-6,508.93,6501.72,0,0,0,0,0,68.89,0,0,214.56,17.23,0,0,44.42,157.97,0,0,0,0,0
  7-9,68.61,156,146.94,0,0,270.99,0,82.43,0,0,2326.77,118.15,0,0,768.58,15.71,22.95,0,0,0,0
 10-12,0,22.41,63.7,0,6.13,110.55,0,21.23,0,0,594.42,32.62,0,0,274.12,0,16.55,0,18.24,0,0
 14-21,0,0,1.84,2.8,0,1.07,0,0,0,1,14.05,0,0,0,0,0,0,2.47,0,6.08,4.37
 24-34,0,0,0,0,0,0,0,0,0,0,2.15,0,0.69,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.14,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.91,0,0,0,0,0.38,0,0,0,0,0.38,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,10.34,0,0,1.8,0,0,0,0,0,0,0
