stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord,taste,vasculature
  5-6,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,0,0,0
 10-12,0,4.07,0,0,0,0,7.83,0,0,0,0,12.96,0,0,0,0,0
 14-21,0,0,0,1.71,0,0,0,0,0,0,0,1.6,0,0,1.47,0,1.07
 24-34,0,0,0,0,0,0,0,0,1.04,0,0,2.47,0,0,1.03,0,0
 36-46,0,0,0,0,0,0,0,0,1.87,0,1.6,7.88,0,0,0,0,1.59
 48-58,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0.56
 60-70,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.77,0,0,6.86,0,0,2.24,0.88,0.65
 84-94,0,0,0,0,0,0,0,0,6.47,0,0,3.71,0,3.96,0,2.53,0
 96-106,0,0,0,0,0,0,0,0,0.62,0,0,4.87,0,0,0,12.36,8.59
108-118,0,0,4.14,0,1.63,0,0,0.85,0,0.54,0,0.49,0.48,0,0,4.83,0
120,0,0,0,0,0,1.21,0,8.64,0,0,0,0,0,0,0,7.77,0
