stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,12.8,299.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,222.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0
  7-9,6.38,28.32,7.19,0,0,34.81,0,0,0,8.85,0,0,0,0,0,0,0,221.12,11.59,0,64.46,0,0,0,0,0,0
 10-12,0,7.38,6.89,0,5.32,15.39,0,0,0,0,0,0,0,0,0,0,0,132.11,0,0,31.3,0,9.52,5.73,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0.86,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0,0,3.86,1.09,0
 36-46,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,21.08,0,0,0,2.24,0,0,4.91,0,0
 48-58,0,0,0,0,0,2.24,0,1.64,0,0,0,0,0,0,0,0,0.37,39.28,0,0,0,0,0,0,3.65,0,0
 60-70,0,0,0,0,0,3.35,0,4.18,0,0,0,0,0,0,4.76,0,0,102.76,0,0,0,0,0,0,6.46,0,0
 72-82,0,0,0,0.8,0,8.09,1.66,4.6,0,0,0,0,0.73,0,0,0.74,0,146.76,0,0,0,0,0,0,13.72,0,0.55
 84-94,0,0,0,0,0,8.19,0,4.27,0,0,0.92,0.56,0,0,0,0,0,120.82,0,0,0,0,0,0,10.21,0,0
 96-106,0,0,0,1.26,0,4.59,0,2.54,1.13,0,0,0,0,0,0,0.81,0,108.17,0,0,0,0,0,0,2.5,0,0
108-118,0,0,0,0,0,10.2,0,0.48,0,0,0,0,0,1.46,0,4.85,0,128.17,0,1.13,0,0.64,0,0,0.96,0,0
120,0,0,0,3.98,0,13.32,0,5.19,0,0,0,0,0,0,0,0,0,179.24,0,0,0,0,0,0,0,0,0
