stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,65.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.33,140.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.22,0,0,0,0,0,0,46.84,0,16.27,0,0,0,0,0,0
 10-12,0,0,7.05,0,4.29,6.05,0,0,16.71,11.53,34.94,0,0,5.61,0,0,0
 14-21,0,0,0,0.81,1.13,0,0,0,6.75,1.42,0,0,1.19,0,1.49,0,0
 24-34,0,0,0,0,0,0,0,0,12.91,0,0,0.8,0,0,1.72,0,0
 36-46,0,0,0,7.04,0,0,0,0.62,5.47,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.39,2.31,0,0.79,0,1.67,0,0,0,0,0,0,0.94,0
 60-70,0,0,0,0,0,0,1.94,0,0.88,0,0,0,0,0,4.12,0,0.81
 72-82,0,0,0,2.49,0,0,0,0,1.31,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.22,0,0,0,0.57,0,0,0,0,0,0,0,0
108-118,0,0,0,0.51,0,0,0,0,0,0,0,1.46,0,0,0,0,0
