stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.23,178.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.55,0,0,0,0,0,0,0
  5-6,0,19.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,22.54,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,3.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74,4.01,0,0,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,0,0,0,2.84,0,0,2.3,0,0,1.62,0,0,0,0,0,0,38.33,1.04,0,0.88,0,1.29,1.66,0,21.16,0,0,0,0
 24-34,0,0,0,0,0,0,0,17.9,0,0,3.88,0,0,0,0.7,0,0.61,0,0,0.66,324.53,0,5.43,2.65,0,1.7,3.51,0.73,77.15,0,0,0,0
 36-46,0,0,0.95,0,0,0,0,44.91,0,0,4.68,0,0,0,0,1.35,0,1.33,0,0,641.3,0,11.77,0,0,1.64,0.62,0,106.51,0,0,0,0
 48-58,0,0,0,0,1.32,0,0,100.53,0,0,9.36,0,0,0,0,0,0,4.15,5.44,4.02,789.85,0,4.28,4.04,0,1.46,0,0,118.38,0,0,0,0
 60-70,0,0,0,0,1.36,0.59,0,197.44,1.24,0.64,13.53,0,0,0,0,0,0,2.18,2.41,0,925.63,0.62,6.29,4.77,0,2.46,0,0,127.25,0,0,0,0
 72-82,0,0,0,0,3.42,0,0,199.77,0,0.59,11.39,0.71,0,0.54,0,0,0,8.32,0,0,660.39,0,2.92,0.69,0,0.62,0.73,0,40.73,0.61,0,0.86,6.12
 84-94,0,0,0,0,4.48,0,0,167.98,0,0,20.93,2.17,2.27,0,0,0,0,9.82,0,0,441.89,0.76,3.71,3.55,0,1.8,0,0,39.41,0,0,0,0
 96-106,0,0,0,0,3.7,0,0,146.68,0,0,5.41,0,0,1.36,0,0.71,0,4.36,0,0,285.48,0,11.14,1.8,0,3.68,0,0,12.52,0,0,0,0
108-118,0,0,0,0,3.55,0,0.59,81.07,0,0,17.06,0,0,0,0,0.43,0,2.98,0,1.14,404.62,0,2.02,3.34,0,0,0,0,7.87,0,0.55,0,0
120,0,0,0,0,4.43,0,0,84.77,0,2.95,26.15,0,10.09,0,0,1.77,0,9.08,0,3.2,431.39,0,0,11.1,0,2.12,0,0,1.95,0,0,0,0
