stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,35.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.17,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,52.36,5.59,0,0,41.74,0,0,0,0,0
 10-12,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,25.02,0,0,0,10.69,0,0,0,0,0
 14-21,0,0,0,3.88,0.88,2.65,0,0,0,0,0,0,0,0,0,10.94,0,0,0,0,0,1.24,1.89,0,0
 24-34,0,0,0,0,3.19,0.6,0,0,2.97,0,0,0,0,2.84,0,16.22,1,0,0,0,0,0,0,0,1.08
 36-46,0,0,0,1.34,0,0,0,0.82,0,1.01,0,0,0,0,0,29.11,0,0,0,0,3.25,0,0,0,0
 48-58,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0.86,2.66,1.13,0,0.57,0,0,6.32,0,0,0,0
 60-70,0,0,0,0,0,6.94,0,0.67,0.65,0,0,0,0,0,4.14,12.2,0.89,0,0,0,0,0,0,0,0
 72-82,0,0.78,0,0.88,0,12.77,0,2.72,0.65,0,0,0,0.5,0.89,0,13.57,0,0,0.5,0,2.87,0,0,1.08,3.91
 84-94,0,0,0,0.7,0,17.91,0,0,0,0,0.8,0,0,1.86,0,1.62,3.1,0,0,0,3.92,0,0,0,0
 96-106,0,0,0,2.66,0.59,6.82,1.02,0,0,1.42,0.83,0.86,0,11.63,0,2.52,0,0,0,0,15.96,0,0,0,2.18
108-118,0,0,0,1.08,0,2.49,0,1.24,3.66,1.37,0.67,0,0,1.02,0,0,0.69,0,0,0,9.35,0,0,0,0
120,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
