stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,23.78,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,0.89,0,0,0,1.66,0,0,0,0,0.94,0,0,0,0,0,1.11,2.63,0
 24-34,0,0,0,0,0,1.23,0,0,0,0,1.18,1.69,11.97,2.32,0,0,0,0,0,4.49,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.12,0,17.87,0,0,0,0,0,0,0.64,0
 48-58,0,0,0,0,0,8.37,0,0,0,0,1.41,1.03,19.23,0,0,0,0,0,0,3.35,0
 60-70,0,0,0,0,0,7.49,0,0,0,0,4.72,0,9.09,0,0,0,0,0,0,6.47,0
 72-82,0,0.78,0,0,39.08,1.29,0,0,0,0,2.01,0,8.32,0.75,0,0,0,0,0,2.58,0
 84-94,0,0,0,0,0.83,0.95,2.6,0,0,0,4.39,0,2.69,0,0,0,1.01,0.58,0,0,0
 96-106,0,0,0,0,6.76,0,0,0,0,0,0,0,3.94,0.93,2.26,0,0,0,0,0,0.7
108-118,0,0,0,0,13.05,6.31,0,0,0.87,1.77,0,0,19.08,0,0,0,0,0,0,0,0
120,0,0,0,1.47,2.41,0,0,0,0,0,0,0,25.78,0,0,0,0,0,0,0,0
