stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.98,239.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,75.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,19.15,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.92,14.98,0,0,54.34,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,66.16,60.65,0,597.44,5.27,0,0,0,0,11.64,0,0,0,0,0,0,0,0,0,0,0,260.31,0,0,0,195.08,0,3.1,11.11,5.64,399.1,0,0,0,0,0,0,0
 14-21,0,1.36,6.02,94.1,1350.08,0,0,0,2.81,55.97,0,60.98,0,0,0,0,0,0,904.43,0,0,314.45,411.47,2.61,0,0,4.43,0,1.01,1.23,15.11,0,6.19,22.31,29.45,0,712.02,0,0
 24-34,0,0,7,19.96,299.61,9.07,1.45,5.21,1.53,3.01,0,221.83,0,1.58,0,0,9,0,687.69,0.74,6.56,88.81,344.8,0,0,2.19,0,6.03,9.44,0,0,4.04,21.55,13.87,23.48,0,2814.63,0,0
 36-46,0,0,0,9,106.33,6.99,0,17.22,1.81,0,0,245.61,0,0,0,0,0,0,396.94,0,30.24,66.67,217.81,0,1.13,0.81,0,3.82,1.18,0.81,0,0.92,21.9,0,16.29,6.27,1333.96,4.65,0
 48-58,0,0,0,1.27,34.73,19.09,0,6.66,2.92,0,0,186.45,0,0,0,5.92,0,0.51,437.05,0,42.95,52.8,132.88,0,0,0,0,10.41,2.84,0,0,0,19.36,0,9.43,1.26,931.57,0.72,1.61
 60-70,2.52,0,0,0,0,12.87,2.09,10.24,19.88,0,0,124.33,5.18,0,5.9,2.47,0,0,329.27,0,38.38,39.62,96.15,0,0,0,0,10.1,2.06,0,0,0,0,0,7.92,8.88,706.91,0,0
 72-82,0,0,0,9.37,0,32.99,0,14.72,4.16,3.31,0,101.81,0,0,0,5.73,0,0,415.11,0,100.19,64.12,83.35,0,0,0.54,0,13.71,0,0,0,0,0,0,4.96,2.85,1190.44,9.58,2.33
 84-94,0,0,0,12.36,0,22.73,0,17.52,0,3.21,0,178.38,0,0,2.95,3.81,0,0,298.53,0,80.96,35.13,38.2,0,0,1.93,0,26.22,0,0,0,12.22,0,0,0.75,9.23,1064.25,4.08,0
 96-106,0,0,0,9.33,18.61,38.6,0.59,24.34,0,0.63,0,263.22,1.35,0,0.63,6.02,0,0,348.27,0,65.93,35.11,74.64,0,0,0,0,16.81,1.19,0,0,4.53,0,0,0,2.46,1092.18,11.34,0
108-118,0,0,0.49,2.69,2.09,44.39,1.03,9.59,7.59,0,0,113.41,1.01,1.68,0,5.13,0.6,0,333.81,0,97.08,32.41,47.45,0,1.68,0,0,2.99,0.76,0,0,4.86,0,0,0,1.91,1213.42,5.07,0
120,0,0,0,3.47,0,29.41,18.18,27.43,2.8,4.04,0,239.91,3.32,0,0,0,0,0,308.05,0,108.57,28.5,73.29,0,0,0,0,38,16.97,0,0,0,0,0,0,9.63,1678.11,14.22,0
