stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,34.6,5.44,0,12.37,0,0,0,1.6,1.66,0,0,0,0.95,0,0,0,0,8.53,0,0,8.09,65.31,0.81,0,5.37,1.96,0,3.4,17.25,1.13,3.25,22.64,19.05,0,0,0,0,0
 24-34,0,15.56,0,0,10.18,0,1.32,1.24,2.97,1.08,3.85,0,0,0.65,0,2.4,0.95,0,16.21,0.93,0,11.16,127.17,0.83,0.69,3.39,0,0,14.1,0,0.65,0,4.87,24.67,0,0,9.97,0,0
 36-46,0.98,11.96,0,0,14.35,0,0.93,0,3.73,0,0,1.05,0,0,0,0,0,0,23.05,7.76,0,13.87,103.41,9.3,2.7,2.34,0,0,26.14,0,0.59,6.91,0,22.71,0,0,3.63,0,0
 48-58,0,15.96,0,0,23.75,0.58,0,2.26,15.96,0.83,0,1.76,0,0,0,0.85,0,0,24.74,0,3.79,5.46,83.52,2.29,0,3.9,0,0,5.68,0,0,0,0,11.21,0,0,3.19,0,1.26
 60-70,0,3.22,0,0,22.65,0,1.78,0.62,8.59,2.05,0,0.75,0.82,0,0,2.2,0,0.88,48.85,0,0.63,5.46,30.75,0,1.62,1.67,0,0,11.16,0,2.82,0,0,9.65,0,0,2.72,0.83,0
 72-82,0.56,13.79,0,0,7.45,0,0,1.35,13.21,1.08,0.52,1.41,5.19,2.73,0,5.35,1.36,0,75.51,0,2.84,5.22,55.43,0,2.22,5.45,0,0,10.24,0,0,0,0,6.23,1.01,3.67,21.97,0.51,0
 84-94,0,23.83,0,0,21.98,0,2.5,0.81,4.95,0,2.08,1.14,4.72,10.6,0,1.76,0.74,2.53,55.69,0,0,7.07,34.31,1.53,0,8,0,0,32.14,0,0.6,0,0,1.72,1.5,2.13,9.46,2.47,0
 96-106,1.14,13.94,0,0,20.67,0,10.43,0.64,11.62,5.56,0,0,6.2,3.84,0,0,0,0,62.31,0.77,2.26,6.15,40.73,0.62,0,4.02,0,1.32,31.1,0,0,0,0,0,0.87,3.2,15.8,6.8,0
108-118,0.57,20.48,1.31,3.85,15.62,0.98,2.87,2.49,24.84,2.78,0,0.89,6.39,0.55,0,0.83,5.35,0,62.07,1.15,1.23,1.92,47.21,0.47,6.21,3.96,0,1.28,30.64,0,0,0.86,0,0,7.1,3.55,9.74,0,0.75
120,0,35.45,1.01,5.77,12.39,0,11.55,0,27.52,8,0,0,6.22,1.67,2.62,9.1,0,0,51.68,1.16,13.66,14.13,62.51,1.12,0,6.42,0,9.62,13.45,0,0,0,0,0,0,14.3,15.65,32.47,0
