stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,22.61,316.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0
  5-6,33.1,477.51,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64,0,0,0,7.98,0,0,0,0,0,0,0
  7-9,17.42,18.19,0,21.34,0,0,19.13,0,0,0,27.09,0,0,0,0,0,0,0,0,0,0,316.57,6.66,0,0,100.38,0,0,0,0,0,0,0
 10-12,0,0,0,18.11,0,0,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.12,3.39,0,0,117.75,0,0,0,12.5,7.71,0,0
 14-21,0,0,0,0,5.23,0,1.84,0,1.22,0,0,0,0,0,0,0,0,1.16,0,0,11.22,32.74,0.99,0,0,0,0,0,6.33,0,1.97,6.4,0
 24-34,0,0,0,0,2.98,0,3.03,0,0,0,0,0,0,0,0,0,0,6.5,0,0,3.23,76.07,0,0.69,0.73,0,0,6.02,0,0,0.65,13.77,2.98
 36-46,0,0,0,0,1.28,0,14.79,0,1.73,0,0,1.51,0,0,0,0,0,3.55,0,0,3.37,94.06,0.69,0,0,0,0,0,0,0,0,29.99,0.55
 48-58,0,0,0,0,2.84,0,27.61,0,16.67,0,0,0,3.23,0,0,0,0,15.22,0.41,0.46,0.81,95.6,0,0,0.4,0,0,0.47,0,0,0,22.21,0
 60-70,0,0,0,0,1.52,0,45.04,0,11.9,0,0,0,8.35,0,0,0,0,21.57,0,2.86,0,83.45,0,0,0,0,0,3,0,0,0,16.75,3.38
 72-82,0,0,0,0,1.07,6.58,39.64,0,6.76,0,0,0,20.05,0,0,1.18,0,20.47,0,0,2.12,101.3,0,0,0,0,0,1.52,0,0,0,14.2,5.6
 84-94,0,0,0,0,2.07,0,30.54,0,5.12,0,0,0,40.82,5.05,0,1.82,0,16.51,1.79,0.72,0,32.87,0,0,1.34,0,0,5.67,0,0,0,10.92,4.83
 96-106,0,0,1.19,0,0.99,3.46,20.25,0,8,0.86,0,0.62,67.9,0,0,1.8,0,16.13,0,0,0,94.07,0,0,0,0,1.11,4.6,0,0,0,0,3.57
108-118,0,0,0,0,0.44,9.6,41.37,1.37,9.73,0.56,0,0,46.98,0,4.05,0.51,0,13.36,0,1.84,0,57.69,0,1.56,0.69,0,2.05,8.38,0,0.47,0,2.32,3.42
120,0,0,0,0,3.24,0,4.55,0,1.07,0,0,0,27.75,0,0,4.16,3.23,17.13,0,0,2.16,82.61,0,0,0,0,0,1.25,0,1.02,0,0,0
