stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,21.47,0,0,3.65,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.84,0,0,0,0,0,0,0,0,0
 14-21,0,1.78,0,0,0,0,0,0.84,0,0,4.91,0,1.09,0.92,0,1.07,2.99,0,0,0
 24-34,0,0,0,0.72,0,0,0,1.65,0,0.74,8.75,2.8,0,0,0,0,3.38,0,0,0
 36-46,0,3.12,0,0.62,0,9.49,0,0.67,0,0,16.29,0,0,0,0,0,3.15,0,0,0
 48-58,0,1.97,0,4.18,0,0,0,0,0,0,14.84,0,3.51,0,0,0,3.26,0,0,0
 60-70,0,1.37,0,0,0,0,0,1,0,0,7.03,0,0,0,5.6,0,0,0,0,1.92
 72-82,0,1.07,0,5.07,1.83,1.05,0,0,0,0,1.32,0,0,0,0,0,1.33,0,0,0
 84-94,0,8.11,2.89,4.31,3.7,0,0,4.37,0,0,3.75,0,0,0,0.76,0,0,0,1.68,0
 96-106,0,35.97,10.44,2.1,2.92,0,0,4.98,0,0,0,1.03,0,0,1.91,0,0,0,0,0
108-118,0,31.47,0,9.55,3.55,0,0.49,0,0.94,0,7.8,1.06,0,0,0,0,0,0.81,0,0
120,0,43.04,0,8.33,0,0,0,0,2.68,0,0,0,0,0,0,0,0,5.08,0,0
