stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,14.48,2.9,0,9.01,0,0,0,47.03,0.85,0,0,0,0,0,0,0,9.19,0,0,4.72,104.3,0,3.47,9.4,6.87,0,13.09,25.62,0,7.41,125.57,0,0,0,0
 24-34,0,2.22,11.51,0.66,0,8.92,0,0,0,74.52,0,0,0,0,0,2.28,0,0.59,10.97,0,0.81,0.73,91.88,0.7,7.47,3.62,0,0,0,7.67,0,0,77.62,0,2.63,0,0
 36-46,0,0,1.01,0,0,14.65,2.21,0,0,29.26,0,0,0,0,0,0,0,1.87,4.97,0,0,0,86.71,0,19.26,0.8,0,2.91,0,12.18,0,0,69.63,0,0,0,1.2
 48-58,0,0,5.54,0.46,0,19.39,1.02,0,0,57.96,1.92,0.57,0,0,0,2.78,0,1.84,3.96,0,0,0.48,53.21,0,21.96,3.44,0,0,0,12.29,0,0,45,0,0,0,3.28
 60-70,0,0,0,0,0,10.74,0,0,0,37.3,0.85,0,0,2.41,0,1.94,0,7.31,3.27,0,0.69,0,60.41,0,14.28,2.52,0,0,0,0.97,4.56,0,27.99,1,0,2.76,0
 72-82,0,0,1.82,13.07,0,2.65,0,0,0.69,53.69,0,0,0.78,0,0,0,3.17,0,27.92,0.56,1.08,0.57,68.43,0,25.22,6.29,0,1.63,0,3.14,0,0,37.34,0,0,0,3.92
 84-94,0,0,1.65,8.56,0,3.44,0,0,0,76.13,0,0,0,0,0,1.07,0,0.86,11.85,0,0,0.7,26.49,0.62,24.12,12.76,0,0,0,6.61,0,0,32.68,0,0,0,4.59
 96-106,0,0.58,16.43,5.33,0.62,5.62,0,0,1.52,69.95,1.16,0,0,0,0,3.83,1.42,0,43.71,0,0,6.89,42.69,0,28.11,11.55,0,3.89,0,3.93,0,0,31.6,0,0,0,0.72
108-118,0.71,0,8,11.9,2.43,5.34,0,0.85,2.51,95.75,1.31,0,3.68,0.55,0.59,9.82,4.36,3.23,33.81,0,0,5.8,52.66,0.44,31.63,28.65,0,2.56,0,6.83,0,0,13.26,0,0,0,16.63
120,0,0,12.7,16.9,0,36.28,19.31,5.04,2.35,55.82,0,0,7.67,1.63,0,1.77,11.83,0,65.5,1.49,0,12.2,74.13,1.55,58.29,43.81,0,10.29,0,0,0,0,0,0,0,3.93,2.81
