stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,158.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.71,441.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.87,0,0,0,0,0,0,3.52,0,0,0,0,6.96,0,0,0,0,0,0,0,0,64.47,0,0,0,42.62,0,4.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,74.11,0,0,0,16.04,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.82,0.83,4.57,0,0,2.05,0,0,0.84,0,0,0,0,0,0,9.47,2.96,0,0,25.74,0,0,0.86,4.54,0,0,5.18,0,3.91,37.85,0,0,1.16,0
 24-34,0,0,0,0,3.2,0,0,0.66,0,0,0,0,0,0,0,0,0,0,6.56,0,0.6,98.24,0,0,0,0,0,0,0,0,0,250.69,0,0,2.45,0
 36-46,0,0,0.94,0,0.56,0,0,125.54,0,0.71,0.84,0,0,0,0,0,0,0,4.24,0.74,3.34,159.41,1.06,0,0.97,0,0,11.08,0,0,0,457.59,0,0,0.57,0
 48-58,0,0,0,0,6.94,0,0,237.42,0,0,25.55,0,0,0.59,0,0,0,0,6.52,0,0.89,123.27,1.43,0,0,0,0,0,0,0,0,586.67,0,0,0,1.91
 60-70,0,0,0.86,0,0,0,0,156.84,0,0,0.8,1.27,0,0,0,0,0,0,1.03,0,2.67,117.09,0,0,0,0,0,0,0,0,0,572.78,25.14,0,0,0
 72-82,0,0,17.13,0,9.89,0.75,0,173.84,0,0,3.94,0.54,0,0,0,0,0,1.07,10.29,0,0,474.36,0,0,0,0,1.05,0,0,0,0,467.86,79.75,0,0,0
 84-94,0,0,297.24,0,30.71,0,0,182.84,0,0,3.69,17.94,0,0,3.14,0,0.61,7.59,10.36,3.13,1.65,362.01,0,0,0,0,0,13.71,0,0,0,322.26,206.67,7.62,0,0.64
 96-106,0,0,247.42,0,33.38,1.39,0.66,93.51,2.04,1.57,6.73,37.57,0,0,6.64,0.9,0,0.75,18.33,0,2.48,150.89,0,0,0,0,0,1.52,0,46.68,0,137.73,423.78,0,0,0
108-118,0,0,84.25,0,9.67,0,0,127.35,1.29,0,31.19,9.34,0,0,0.59,0,0.57,18.1,3,0,1.67,144.36,0.67,0.95,0,0,0,1.47,0,133.86,0,218.66,478.69,0,0,0
120,0,0,286.74,0,4.02,6.93,0,266.56,0,0,7.24,8.95,0,2.09,0,0,0,8.53,29.5,0,7.79,1027.83,0,0,0,0,0,0,0,0,0,331.93,99.05,0,0,8.73
