stage,blastomeres,endoderm,eye,neural,paraxial_mesoderm,periderm
  3-4,71.68,0,0,0,0,0
  5-6,16.89,0,0,0,0,8.81
  7-9,0,0,6.17,51.41,7.71,0
 10-12,7.57,12.12,0,15.85,10.3,0
