stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0,5.21,6.5,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.12,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,17.43,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,20.27,0,0,0,0,0,7.04,0,0,0,4.84,0,0,3.92,0,0
 24-34,0,0,0,7.57,2.13,18.43,0,0,0,15.4,0,0,3.45,0,0,0,0,0,0,0,0,0,0,66.92,0,8.41,0.63,0,0,2.16,0,0,0.61,10.98,0,0,5.78,0,0
 36-46,0,0,0,0,0,35.73,0,0,0,3.48,0,0,1.32,0,0,0,0,0,22,5.98,0,0,0.64,95.92,1.06,0,0,0,0,2.27,0,0,0,12.27,0,0,0.68,0,0
 48-58,0.39,0,0,0,0,39.83,0,0,0,3.38,0,0,0,0.4,0,0,0,0,0,5.66,0,0.84,1.14,64.22,0,3.22,0,0,0,1.58,1.47,0,0,8.85,0,0,0.47,0,0
 60-70,0,0,0,0,0,697.65,0,1.18,0.57,8.34,0,0,0,3.04,0,0,0,0,0,20.53,0,0.6,2.69,94.87,0,1.19,0,0,0,0,0,0,0,23.85,0,0,0.97,0,0
 72-82,0,0,0.53,5.69,8.11,2309.13,0,0,0.55,8.22,0,0,0.66,4.67,0,0,1.2,0,0,20.65,0,0.93,2.79,102.2,0,5.94,0.81,0,1.78,4.67,0,0,0,11.44,0,0.66,0,1.37,5.04
 84-94,0,0,0,15.6,0,2755.2,0.56,0,0,5.45,0.76,0,0,4.04,0,0,0,0,1.84,26.7,0,0,0.71,68.19,0.62,4.89,1.47,0,0,11.84,0,0,0,0.74,0,0,4.56,0,7.31
 96-106,0,0,0,8.53,8.07,2745.22,1.02,0,0,9.38,0.83,0,1,4.52,0,0.66,0.82,0,0,15.47,1.15,1.41,2.41,80.99,0,3.56,1.39,0,0,14.78,0,0.9,0,8.6,3.44,0,3.39,0.59,0
108-118,0,0,12.76,8.39,2.28,2413.33,0,4.18,0,14.64,2,0,0,4.78,2.87,0.63,0,0,0,26.47,0,1.9,2.75,138.79,0,5.3,3.94,0,0,6.97,0,0,0,0,0,6,0,2.94,4.12
120,0,0,0,8.61,1.97,2747.25,0,6.81,0,0,0,0,0,7.69,1.48,0,0,9.66,0,16.41,0,0,5.11,96.51,0,5.17,0,0,0,3.19,0,0,0,0,1.27,9.46,0,0,0
