stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,68.63,1055.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0
  5-6,34.15,992.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.13,0,0,0,9.2,0,19.97,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,0,5.25,0,0,0,13.16,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,173.3,0,0,0,48.52,0,5.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.91,8.26,0,0,13.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.62,0,0,0,0,1.63,5.26,0,0,0,1.12,0,0,0,0,0,1.2,0,0,0,0,0
 24-34,0,0,0,2.3,1.27,0,0,0.98,0,0,0,7.36,2.23,0,0.82,0,0,0,0,92.01,0.62,2.18,0,0,1.99,21.1,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0
 36-46,0,0,0,0,0,0.78,0,4.27,0,0,0,2.96,0,0,0,0,1.77,0,0,395.68,0,0.68,0,0,0,19.63,0,1.14,0,0,0,0,0,0,0,3.07,0,0,0,0,0
 48-58,0,0,0,0,0.48,0.71,0,23.83,0,0,0,21.42,0.38,0,0,0,0,0,0,648.74,0.83,2.07,0,0,0,51.79,0,0,0,0,0,1.83,0,0,0,17.16,0,0.64,0.65,0,0
 60-70,0,0,0,0,12.35,0,8.61,40.85,0,0,0,4.59,4.03,0,0,0,0,1.14,0,1233.26,0,4.84,0,0,0,73.8,0,6.16,0,0,0,7.66,0,7.12,0,18.92,0,0,3.45,0,0
 72-82,0,0,0,0,10.84,13.36,0,168.59,0,0,1.03,91.81,1.68,0,1.68,4.9,0,2.18,3.72,4683.95,1.88,63.99,5.75,1.23,4.52,471.54,0,1.28,2.98,0,0,17.95,0,0,0,33.51,5.27,0.78,23.42,1.54,29.01
 84-94,0,0,0,0,15.54,29.37,1.49,335.16,0,0.64,1.55,72.85,27.98,0,2.97,3.29,1.99,1.29,1.3,15611.83,7.86,84.16,2.35,3.51,2.19,679.54,10.74,5.57,0.89,0,2.96,41.78,1.4,0,0.78,71.86,6.73,2.87,41.12,10.57,37.87
 96-106,0,0,1.92,0,91.73,266.78,22.29,916.02,9.61,22.83,48.5,205.57,59.03,0,9.81,62.73,11.11,6.78,8.5,23851.67,5.32,350.46,25.31,21.58,42.93,3162.46,11.97,23.37,17.33,0,10.21,270.14,2.06,3.26,10.55,51.07,13.69,9.3,151.32,21.92,96.87
108-118,0,0,2.66,0,77.08,92.13,20.89,907.33,0.68,16.21,22.07,206.47,41.37,0,1.58,19.53,11.18,21.42,12.29,50925.91,7.78,387.79,11.32,9.57,34.14,2660.85,10.92,13.07,27.52,0,22.89,142.35,0,9.27,3.8,56.17,14.25,10.37,58.1,8.4,43.68
120,1.19,0,0,0,70.04,55.98,0,365.03,4.44,4.75,4.78,307.67,14.62,0,2.09,20.97,2.65,23.23,2.39,22998.28,4.02,215.48,0,45.68,40.71,1734.72,0,17.56,13.56,0,22.91,55.62,0,9.54,0,73.1,1.06,6.5,42.24,0,1.64
