stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,57.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.25,3.91,0,0,35.12,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,15.03,2.04,0,0,0,10.38,0.9,0,0,2.03,2.72,0,0,0,0,0
 24-34,0,0,0,1.74,0.84,0,2.91,0,0,0,0,0,0,0,0,0,0,0,3.95,0,1.95,30.99,0,0,0,0,4.88,0,0,0,8.71,5.69,0,0,8.86,0,1.34
 36-46,0,0,0,1.05,0,0,1.65,0.58,0,0,2.23,0,0,0,0,0.65,0,0,8.96,0,0.71,20.1,0,0,0.65,0,5.35,0,3.13,0,0,11.72,0,0,1.21,0,0
 48-58,0,0,0,2.21,1.8,0,12.87,0,2.97,0.49,7.14,0.38,0,0,0,0,0,0,4.71,0,2.3,20.46,0,1.15,0,0,1.03,0,0,0,0,14.73,0,0,0,0,0
 60-70,0,0,0,1.69,0.67,0,15.93,0,0,0,13.47,0,0,4.64,0,0,2.11,0,10.74,0,1.22,34.85,0,0,0,0,1.14,0,0.63,0,0,9.2,0,0,8.28,0.87,1.18
 72-82,0,0,0,2.38,7.97,0,22.81,0,0,0,11.45,0,5.65,0,0,0,1.32,0,20.78,2.33,0,39.54,0,0,0,0,4.3,0,0,0,0,0.81,0.56,2.07,4.63,0,0
 84-94,0,0,0,0,25.99,0,23.85,0,0,1.9,4.47,0,0,1.52,0,0,0.68,3.09,9.61,1.82,0,17.72,0.7,0,0,0,1.95,0,1.32,0,0,0.68,0,0,4.2,0.96,0
 96-106,0,0,0,4.26,40.21,0,23.14,0,0,0.63,3.06,1.68,0,0,0,0,5.11,0,4.71,0,1.1,40.86,0,1.84,0,0,3.36,0,0,0,0,0,0,0,7.36,3.81,0
108-118,0,0,0,0.92,11.27,0.5,27.09,0.89,0,1.52,12.51,1.52,0,0,0.63,0,2.85,0,2.98,0,2.44,34.3,0,1.01,0.53,0,3.8,0,1.06,0,0,1.26,0.58,0,1.98,3.13,0
120,0,0,0,13.29,15.5,0,20.52,0,0,0,0,0,0,0,0,0,0,0,28.4,0,2.78,88.61,1.66,0,7.95,0,2.87,0,0,12.17,0,0,0,0,7.52,0,0
