stage,fin_epithelia,mesenchyme,muscle,neural,spinal_cord
 24-34,0,0.86,0,0,0
 36-46,1.39,0,0,0,0
 48-58,0,0,0.42,0,0.58
 60-70,0,0,0,1.45,0
 84-94,0,0,0,2.5,3.29
