stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,hatching_gland,ionocyte,liver,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
  3-4,23.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,24.87,0,5.45,0,0,0,0,0
 10-12,0,0,0,0,0,3.83,0,0,8.18,0,21.87,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.36,5.9,0,0,0,9.76,1.17,12.64,0
 24-34,0,0,0,0,0,0,0,1.22,2.36,0,0,0,0,0,0,0.59
 36-46,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.42,1.07,0,0,0,0,0,0.72
 60-70,0,0,0.58,0,3.09,0,0,0,0.6,0,0,0,0,0,0,0
 72-82,0,1.51,0,0,0,0,0,0,5.51,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.73,0,0,0,0,0,0,0.6,0,0,0,0
 96-106,0,0,1.84,1.07,0.58,0,0,0,1.49,0,0,0,0,0,0,0
108-118,0,0,0.91,0,0,0,0,0,11.42,0,0,0,0,0,0,0
120,0,0,4.29,0,0,0,2.5,0,4.95,0,0,0,0,0,0,0
